gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
mt-Co1	3.166806259164958e-16	0.8159852371401803	0.976	0.766	6.60437445348852e-12	1.984334121676635e-19	0.7082526857345255	0.938	0.703	4.138328810756622e-15	1.2243146519333786e-19	0.39685975561542897	0.961	0.873	2.553308206607061e-15	3.166806259164958e-16	3.672943955800124e-19	unassigned-LEC
Marco	6.446348046452497e-63	0.48710874453035713	0.273	0.004	1.3443858850876684e-58	1.4311009496061416e-21	0.2537078320045352	0.16	0.005	2.9845610304036085e-17	7.178254466527146e-16	0.2385730427610885	0.105	0.005	1.4970249689942362e-11	7.178254466527146e-16	1.93390441393572e-62	FRC
mt-Atp6	2.1368820265956756e-15	0.6760127066897392	0.976	0.831	4.4564674664652814e-11	3.881597804665261e-19	0.5033653875993394	0.963	0.838	8.095072221629402e-15	8.874306108590483e-15	0.3079908148757804	0.98	0.904	1.850736538946545e-10	8.874306108590483e-15	1.1644793413995759e-18	unassigned-LEC
mt-Nd4	4.9820026944179354e-15	0.7050663479390753	0.976	0.779	1.0389966619208605e-10	4.234975249758092e-18	0.6072387667290018	0.914	0.73	8.832040883370501e-14	7.223272737677973e-14	0.3741484090663323	0.961	0.842	1.5064135294427412e-9	7.223272737677973e-14	1.2704925749274248e-17	unassigned-LEC
mt-Co3	7.218964968648492e-16	0.6213256837649936	1	0.883	1.505515144211643e-11	4.482182892808942e-18	0.4423771155594385	0.951	0.874	9.347592422953049e-14	9.360954105870903e-13	0.2878583912966546	0.98	0.89	1.952226978779377e-8	9.360954105870903e-13	1.3446548678426757e-17	unassigned-LEC
mt-Co2	1.853551060831441e-14	0.7224284027164858	1	0.766	3.8655807373639705e-10	3.590196007298306e-18	0.5672443625090859	0.963	0.748	7.487353773220618e-14	4.764653838772598e-10	0.2901397232333105	0.98	0.887	9.936685580760254e-6	4.764653838772598e-10	1.0770588021894865e-17	unassigned-LEC
mt-Co1	4.866757537065998e-10	0.295529671271173	1	0.985	1.0149622843551139e-5	2.1836655730796212e-9	0.3268243727339535	1	0.97	4.55403455265755e-5	1.3670877912559802e-9	0.2583152279667167	1	0.985	2.851061588664347e-5	2.1836655730796212e-9	1.4600272604092432e-9	FRC
mt-Atp6	2.7686130290508246e-7	0.2380892933534411	1	0.989	0.005773942472085495	4.1752955993193884e-9	0.24552458277103506	1	0.984	8.707578972380584e-5	3.4217602543832843e-9	0.2148207870230654	1	0.99	7.136081010516339e-5	2.7686130290508246e-7	1.0265280728024525e-8	FRC
mt-Co3	1.469866224727204e-7	0.23928273385874022	1	0.989	0.003065406011668584	5.092946493614353e-7	0.22556837014294828	1	0.982	0.010621339912432734	5.936921665549411e-8	0.20868264327278574	1	0.99	0.0012381450133503297	5.092946493614353e-7	1.781076393923705e-7	FRC
mt-Nd4	1.928474487293784e-7	0.2994743093892127	1	0.981	0.004021833543251186	5.415302940025131e-7	0.27313505266634763	1	0.973	0.01129361428142241	1.5572349218904646e-7	0.23716493193842503	0.974	0.978	0.003247613429602564	5.415302940025131e-7	4.6717040381772476e-7	FRC
Gm26917	3.8651380423798367e-7	1.0617615849167723	0.878	0.455	0.00806074538738315	8.686746665694629e-7	0.6785790106064395	0.922	0.531	0.01811621017130615	4.383079726883807e-8	0.7611469133025399	0.874	0.537	9.14091277041618e-4	8.686746665694629e-7	1.3149238604309806e-7	Marco_LEC
Gm26917	2.8652272313155357e-7	0.766648805492643	0.818	0.465	0.005975431390908549	9.9593412908125e-7	0.6714598127670343	0.8	0.529	0.02077020626198947	5.519538184648176e-7	0.6505313520622081	0.711	0.454	0.011510996884083772	9.9593412908125e-7	8.595679231088717e-7	FRC
mt-Co2	4.4096372251941617e-7	0.23332610662246767	1	0.983	0.009196298433142425	1.8901977146890678e-6	0.22691871690308263	1	0.976	0.03942007333984051	4.0445215711702396e-8	0.22104895968744565	1	0.985	8.434849736675534e-4	1.8901977146890678e-6	1.2133564222766085e-7	FRC
mt-Co1	2.2684592248903585e-6	0.39554032310326726	1	0.939	0.04730871713508843	9.827545475653731e-8	0.3969002262528174	1	0.878	0.0020495346089475855	1.7931965744092818e-7	0.29765395008611284	1	0.944	0.0037397114559305574	2.2684592248903585e-6	2.948263352954177e-7	Marco_LEC
Mfsd13a	4.168312296976259e-6	0.5574354331170153	0.318	0.073	0.08693015295343988	3.3607867358689806e-8	0.35795331207790954	0.32	0.058	7.008920737654759e-4	6.477181364072973e-7	0.2762663336282383	0.211	0.045	0.013508161734774185	4.168312296976259e-6	1.0082359868760315e-7	FRC
mt-Cytb	2.7047302635011718e-12	0.5820735405487163	0.976	0.779	5.6407149645316936e-8	1.3440615277520355e-11	0.3979135172398056	0.926	0.811	2.80304031612687e-7	6.5178452975971235e-6	0.25366323577022865	0.941	0.832	0.135929663681388	6.5178452975971235e-6	8.114190790481572e-12	unassigned-LEC
mt-Co2	5.225309561806986e-7	0.3154071488885064	1	0.966	0.01089738309114847	1.7151472447618506e-6	0.30467861756305936	1	0.946	0.03576939578950839	6.559259845555666e-6	0.2449762668848079	1	0.968	0.13679336407906342	6.559259845555666e-6	1.5675920494264365e-6	PvC
mt-Atp6	2.7160096283074166e-8	0.33429895345726246	1	0.981	5.664238079835117e-4	8.517735450611646e-7	0.31128692315722795	1	0.958	0.017763737282250586	7.1225503322475005e-6	0.23559076210375007	1	0.972	0.1485407871790216	7.1225503322475005e-6	8.148028663621009e-8	PvC
mt-Atp6	8.817634587064348e-6	0.37950925432492255	1	0.909	0.18389176931322698	1.6988059952917625e-7	0.3460434945320281	1	0.918	0.0035428599031809708	2.074154169899102e-9	0.30289844291936996	1	0.963	4.325648521324577e-5	8.817634587064348e-6	6.222462496790971e-9	Marco_LEC
Ttn	7.288291173057256e-18	0.4277330465272525	0.273	0.018	1.5199731241410907e-13	1.02322514569395e-5	0.3427667035904289	0.16	0.024	0.21339360413447328	1.6884080808264655e-21	0.2984694016531678	0.211	0.015	3.521175052563594e-17	1.02322514569395e-5	5.065224242479387e-21	FRC
mt-Nd4	1.1975028983719678e-5	0.37842457620212455	1	0.939	0.2497392294554739	6.124328413689827e-8	0.4276199334827564	1	0.857	0.0012772286906750135	3.482989125817571e-8	0.3554360640297065	1	0.926	7.263773821892545e-4	1.1975028983719678e-5	1.0448967013516331e-7	Marco_LEC
mt-Co1	1.2393950560866198e-5	0.6424972853647339	1	0.911	0.25847583894686454	4.080606354460691e-6	0.5410527417631672	0.9	0.842	0.08510104552227772	1.46764806833752e-14	0.4626184070138506	0.939	0.904	3.0607800465178984e-10	1.2393950560866198e-5	4.402944205012495e-14	BEC
mt-Nd2	1.3045299273980489e-5	0.4602830471210402	1	0.879	0.2720597163588631	6.651276490375526e-8	0.46321465324290734	1	0.837	0.001387123712067816	8.632952297787632e-6	0.4718921793134516	0.913	0.704	0.18004022017036106	1.3045299273980489e-5	1.9953828143942194e-7	Marco_LEC
