gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
Hmgb1	0	-0.6358044182537683	0.737	0.914	0	0	-0.60369489258702	0.749	0.888	0	0	-0.5060953012106573	0.784	0.869	0	0	0	BEC
Atox1	0	-0.704030284228403	0.689	0.889	0	0	-0.7750839774871133	0.681	0.889	0	0	-0.5958393235730404	0.73	0.848	0	0	0	BEC
Cd300lg	0	-0.9213816765242023	0.404	0.808	0	0	-1.064810025002875	0.308	0.782	0	0	-0.9017047721125191	0.353	0.745	0	0	0	BEC
Crip1	0	-0.9049059568745196	0.524	0.868	0	0	-0.9668042127103426	0.49	0.836	0	0	-0.812132273142216	0.572	0.83	0	0	0	BEC
Selenop	0	-0.8864496960425989	0.44	0.818	0	0	-0.9346031683059179	0.347	0.769	0	0	-0.7864309133736128	0.413	0.744	0	0	0	BEC
Atp1a2	0	-0.8269441155225263	0.055	0.678	0	0	-0.8465671617000055	0.071	0.713	0	0	-0.7958101917049349	0.074	0.664	0	0	0	FRC
H3f3a	0	-0.4320249180934761	0.861	0.938	0	0	-0.41226848829816687	0.888	0.944	0	0	-0.5812679926467068	0.799	0.915	0	0	0	FRC
Myl9	0	-0.7916517773729361	0.188	0.678	0	0	-0.7357280378708784	0.15	0.672	0	0	-0.7785061447695026	0.163	0.669	0	0	0	FRC
Gucy1a1	0	-0.6312393107660266	0.081	0.541	0	0	-0.649309151906019	0.069	0.553	0	0	-0.5933849658161977	0.058	0.503	0	0	0	FRC
Hmgcs2	0	-0.8641409462773363	0.044	0.691	0	0	-0.9013848621890217	0.023	0.698	0	0	-0.7836258551309836	0.037	0.629	0	0	0	FRC
Gstm1	0	-0.8008918396329117	0.551	0.849	0	0	-1.0040245412391247	0.455	0.884	0	0	-1.0038266511537302	0.339	0.786	0	0	0	FRC
Nfib	0	-0.6820182758490312	0.762	0.916	0	0	-0.7036029785245989	0.78	0.935	0	0	-0.5637164519499145	0.75	0.859	0	0	0	FRC
Nfia	0	-0.6545043056949701	0.557	0.865	0	0	-0.7832481350351674	0.517	0.894	0	0	-0.6093222632069266	0.52	0.814	0	0	0	FRC
Mxd4	0	-0.69620990232598845	0.272	0.771	0	0	-0.6965712458802211	0.284	0.777	0	0	-0.6346019474134491	0.229	0.69	0	0	0	FRC
Ttyh3	0	-0.4831505183533369	0.091	0.564	0	0	-0.46672978614695826	0.103	0.545	0	0	-0.43671707739877796	0.111	0.517	0	0	0	FRC
Hmgb1	0	-0.41890634981576236	0.851	0.926	0	0	-0.387475220860813	0.855	0.934	0	0	-0.4272046055509775	0.822	0.902	0	0	0	FRC
Idh2	0	-0.5565503442560191	0.172	0.641	0	0	-0.5756981505749682	0.164	0.66	0	0	-0.572915026243868	0.14	0.607	0	0	0	FRC
Ypel3	0	-0.5534729087132242	0.037	0.562	0	0	-0.5661691655566514	0.031	0.571	0	0	-0.5439872915696148	0.04	0.537	0	0	0	FRC
Cd81	0	-0.5223547927422907	0.783	0.922	0	0	-0.52410722551678	0.795	0.923	0	0	-0.5077781191765939	0.732	0.871	0	0	0	FRC
Nrp1	0	-0.7800802962624092	0.216	0.718	0	0	-0.8449745728179485	0.223	0.75	0	0	-0.7157677739972521	0.183	0.633	0	0	0	FRC
Nedd4	0	-0.6194282599088479	0.806	0.936	0	0	-0.5781561787846194	0.847	0.943	0	0	-0.4768200194586689	0.808	0.877	0	0	0	FRC
Gpx4	0	-0.6249950488426377	0.632	0.87	0	0	-0.6400800724752619	0.643	0.894	0	0	-0.6121529104247725	0.584	0.839	0	0	0	FRC
Tle5	0	-0.6567566560204743	0.386	0.805	0	0	-0.7126448930275537	0.372	0.833	0	0	-0.6511720136503152	0.311	0.747	0	0	0	FRC
H2afv	0	-0.5850230427423657	0.159	0.673	0	0	-0.5993642364031266	0.158	0.677	0	0	-0.5617967355549267	0.14	0.616	0	0	0	FRC
Spns2	0	-0.6923904465597461	0.155	0.621	0	0	-0.6705280172930901	0.184	0.617	0	0	-0.5706151701801018	0.185	0.575	0	0	0	FRC
Cygb	0	-0.8231811389655841	0.328	0.758	0	0	-0.8405341978188225	0.329	0.787	0	0	-0.6908010984667265	0.319	0.695	0	0	0	FRC
Gas1	0	-0.7293899605539047	0.038	0.571	0	0	-0.8291165386007993	0.034	0.617	0	0	-0.5639450592712573	0.04	0.487	0	0	0	FRC
Zbtb20	0	-0.8449041900065001	0.457	0.879	0	0	-0.9165710224029255	0.419	0.905	0	0	-0.7158277221111671	0.412	0.81	0	0	0	FRC
Pdcd4	0	-0.6345946569227321	0.188	0.705	0	0	-0.6074042154494639	0.177	0.675	0	0	-0.6419340231145504	0.134	0.642	0	0	0	FRC
Gucy1a1	0	-1.1729251505575857	0.236	0.88	0	0	-1.1553804354466015	0.259	0.852	0	0	-1.1184049035383425	0.23	0.836	0	0	0	PvC
Aspn	0	-1.1340808188784368	0.133	0.801	0	0	-1.236775484167764	0.107	0.811	0	0	-1.1673104660324358	0.113	0.814	0	0	0	PvC
Crip2	8.883484607579167e-305	-0.6457151185328553	0.377	0.784	1.8526507149106352e-300	0	-0.6070862831146528	0.399	0.779	0	0	-0.5926352071953447	0.381	0.745	0	8.883484607579167e-305	0	FRC
Meox2	0	-0.642966499213899	0.233	0.71	0	0	-0.5750400269127129	0.261	0.696	0	5.998431327439872e-304	-0.537004347765363	0.24	0.635	1.2509728533375854e-299	5.998431327439872e-304	0	FRC
Ckb	0	-0.9617025491522223	0.104	0.754	0	1.3576650086979891e-303	-0.9547514951439237	0.136	0.752	2.831410375639656e-299	0	-1.0324794520319631	0.13	0.799	0	1.3576650086979891e-303	0	PvC
Zeb2	0	-0.5466446301457603	0.775	0.911	0	0	-0.6027346286629187	0.785	0.928	0	1.8570848747730597e-303	-0.500409369355106	0.752	0.86	3.872950506339216e-299	1.8570848747730597e-303	0	FRC
Adh1	3.345608509601424e-302	-0.4330820106291486	0.012	0.413	6.9772665467737704e-298	0	-0.49796680404123755	0.015	0.455	0	0	-0.40466677644891996	0.019	0.359	0	3.345608509601424e-302	0	FRC
Fos	1.9705651223099562e-297	-0.3912654433859373	0.943	0.983	4.1096135625774136e-293	0	-0.36817474285270735	0.944	0.98	0	0	-0.40283688586614463	0.94	0.97	0	1.9705651223099562e-297	0	FRC
Wipi1	0	-0.49436077627636965	0.127	0.59	0	0	-0.48080705539345076	0.136	0.579	0	6.056459827180979e-293	-0.39531038429977694	0.111	0.48	1.263074696958593e-288	6.056459827180979e-293	0	FRC
Cxcl12	0	-0.77544428187061	0.801	0.917	0	0	-0.9718478786970828	0.776	0.957	0	6.919221480436482e-290	-0.6102940901853482	0.784	0.867	1.4430036397450282e-285	6.919221480436482e-290	0	FRC
Ttc28	0	-0.5274174554839756	0.104	0.577	0	0	-0.5206464895919486	0.095	0.568	0	2.1134944003191527e-287	-0.40614035432623946	0.115	0.483	4.407692571865593e-283	2.1134944003191527e-287	0	FRC
Ephx1	4.480779079098493e-280	-0.39514835595259323	0.04	0.443	9.344664769459907e-276	0	-0.3824786075329776	0.027	0.415	0	0	-0.3493652010249106	0.026	0.382	0	4.480779079098493e-280	0	FRC
Arhgap24	7.752128016100322e-280	-0.5575512479400461	0.166	0.604	1.616706297757722e-275	0	-0.5712067752705798	0.168	0.627	0	0	-0.5159823787900711	0.129	0.552	0	7.752128016100322e-280	0	FRC
1810058I24Rik	9.960759879235839e-279	-0.5601736461257071	0.349	0.729	2.0773164728146342e-274	0	-0.6209685109371531	0.336	0.759	0	0	-0.5687161595158166	0.285	0.683	0	9.960759879235839e-279	0	FRC
Nedd4	3.2417352008630337e-288	-0.8045528216376496	0.691	0.921	6.760638761399857e-284	2.7171385950413316e-277	-0.6911191785776112	0.769	0.904	5.666592539958697e-273	0	-0.621032355631985	0.748	0.902	0	2.7171385950413316e-277	0	PvC
Mxra7	8.763388803882424e-274	-0.4933792304713954	0.134	0.56	1.8276047350496797e-269	0	-0.5046299206293884	0.154	0.585	0	0	-0.4658306087395828	0.119	0.546	0	8.763388803882424e-274	0	FRC
Aldh2	1.0688157471605079e-273	-0.5954726113177682	0.428	0.767	2.229015240703239e-269	0	-0.736425869756896	0.36	0.801	0	0	-0.7222302948376547	0.223	0.71	0	1.0688157471605079e-273	0	FRC
Nfic	0	-0.6877326106256931	0.355	0.808	0	0	-0.6092914016231392	0.434	0.813	0	5.760475334300995e-273	-0.5213091196692363	0.403	0.733	1.2013471309684725e-268	5.760475334300995e-273	0	FRC
Iah1	7.31041204546723e-272	-0.506397278346372	0.227	0.644	1.524586432082191e-267	0	-0.5821964690673336	0.188	0.682	0	0	-0.5137711085398204	0.146	0.586	0	7.31041204546723e-272	0	FRC
Grcc10	2.1858356267079998e-278	-0.5420789290499249	0.472	0.797	4.5585601994995336e-274	0	-0.5652525122462626	0.475	0.805	0	1.2419380316936067e-270	-0.521889376982395	0.423	0.744	2.590061765097017e-266	1.2419380316936067e-270	0	FRC
Ptms	4.3942921500974086e-270	-0.4958558631935762	0.719	0.884	9.164296279028146e-266	0	-0.5045443900713832	0.725	0.894	0	8.552838280142836e-278	-0.4620317686925932	0.701	0.857	1.7836944233237884e-273	4.3942921500974086e-270	0	FRC
Jun	9.247459599657254e-269	-0.32237680767828225	0.962	0.978	1.9285576995085204e-264	0	-0.3283362630073683	0.961	0.983	0	4.454645340326207e-302	-0.3117330521412336	0.962	0.962	9.290162857250305e-298	9.247459599657254e-269	0	FRC
Ptms	7.564942539433834e-268	-0.7426155919190283	0.693	0.94	1.5776687665989262e-263	1.7482818084174347e-278	-0.7263550476883878	0.744	0.925	3.64604171145456e-274	0	-0.6398302763603121	0.743	0.925	0	7.564942539433834e-268	0	PvC
Gxylt2	1.968326545021712e-267	-0.492135456579724	0.113	0.531	4.10494500964278e-263	0	-0.5103785312685033	0.133	0.56	0	1.0139268766420647e-267	-0.42944803495154577	0.133	0.491	2.114544501237026e-263	1.968326545021712e-267	0	FRC
Ypel3	2.250549969717824e-267	-0.6162600439991787	0.023	0.565	4.693521961846522e-263	1.0699909247439005e-279	-0.5893186042668638	0.014	0.532	2.2314660735534046e-275	6.138081233892482e-282	-0.5266826289206649	0.037	0.501	1.2800968413282773e-277	2.250549969717824e-267	1.8414243701679202e-281	PvC
Gstm2	1.4873136291894628e-266	-0.5943932910543993	0.509	0.793	3.1017925736746246e-262	0	-0.755016219839777	0.442	0.841	0	0	-0.6979586103735548	0.333	0.708	0	1.4873136291894628e-266	0	FRC
Dclk1	0	-0.5879508711719463	0.786	0.892	0	0	-0.5746841816977737	0.794	0.905	0	1.085072048826606e-265	-0.49979493866798674	0.74	0.801	2.2629177578278867e-261	1.085072048826606e-265	0	FRC
Bnip3l	2.2138467194561225e-289	-0.5660700341401258	0.305	0.723	4.616977333425743e-285	0	-0.5261282557258462	0.308	0.697	0	1.4193295157065167e-265	-0.4786889694486844	0.294	0.671	2.9600117050059408e-261	1.4193295157065167e-265	0	FRC
Adamts10	7.124274260780393e-263	-0.5062538757315412	0.126	0.544	1.485767397085751e-258	0	-0.49753533948442163	0.116	0.53	0	0	-0.4881311874013128	0.098	0.494	0	7.124274260780393e-263	0	FRC
Tsc22d1	4.445774511132332e-271	-0.6066676397727214	0.531	0.813	9.271662742966477e-267	3.5912978357294444e-278	-0.5007371358208852	0.602	0.814	7.489651636413756e-274	1.8283818007905412e-257	-0.5645243125510024	0.473	0.745	3.8130902455486736e-253	1.8283818007905412e-257	1.0773893507188531e-277	FRC
Aoc3	3.659644073755771e-253	-0.8047215761887201	0.135	0.707	7.632187715817661e-249	0	-0.868394899494613	0.106	0.734	0	0	-0.8009516996855865	0.121	0.712	0	3.659644073755771e-253	0	PvC
Galnt16	3.178457289723107e-251	-0.723083429863981	0.077	0.625	6.628672677717539e-247	4.662755209607418e-276	-0.7117555051116544	0.054	0.607	9.72417598963627e-272	0	-0.7177968848259006	0.049	0.615	0	3.178457289723107e-251	0	PvC
Ech1	2.2727816171410067e-250	-0.5094496996362855	0.277	0.667	4.73988606254757e-246	0	-0.5056179896313954	0.265	0.665	0	7.78403275531238e-294	-0.4708445260465327	0.192	0.58	1.6233600311203967e-289	2.2727816171410067e-250	0	FRC
Ckb	2.980786363185184e-250	-0.5426560984311665	0.086	0.483	6.216429960422701e-246	2.580126973183257e-270	-0.4822419168115359	0.103	0.476	5.3808548025736825e-266	0	-0.5191975082185936	0.093	0.483	0	2.980786363185184e-250	0	FRC
Tmem176b	4.0725234913506546e-249	-0.3310240850681605	0.867	0.924	8.49324774121179e-245	0	-0.340852720663801	0.871	0.932	0	2.3703637436073477e-266	-0.3021160880148117	0.874	0.884	4.943393587293124e-262	4.0725234913506546e-249	0	FRC
Ldhb	5.317397665814879e-248	-0.3926827793820986	0.063	0.446	1.108943283205693e-243	7.288964509739008e-259	-0.33337538874835104	0.052	0.397	1.5201135485060702e-254	0	-0.36231294337509	0.039	0.39	0	5.317397665814879e-248	0	FRC
Bok	1.0513674528851723e-245	-0.39669143692840125	0.085	0.485	2.192626822992027e-241	1.2260932647494577e-298	-0.41278879643672534	0.084	0.473	2.557017503634994e-294	4.7239137663159935e-292	-0.3654890526279608	0.078	0.422	9.851722159652004e-288	1.0513674528851723e-245	3.678279794248606e-298	FRC
Myl12b	1.8420072157750664e-245	-0.5099901305434202	0.506	0.79	3.841506048498901e-241	0	-0.5255178650881539	0.526	0.813	0	1.9095261687001944e-305	-0.5432272765010824	0.403	0.742	3.982316824824255e-301	1.8420072157750664e-245	0	FRC
Macf1	7.069075815279025e-291	-0.5905740236144515	0.602	0.843	1.4742557612764405e-286	0	-0.5658807539702037	0.636	0.865	0	1.4020231450133577e-244	-0.5102214309878531	0.557	0.776	2.9239192689253573e-240	1.4020231450133577e-244	0	FRC
Myl9	2.0598250685863838e-241	-0.9207834368775211	0.568	0.933	4.2957651805369035e-237	1.7888625901876008e-261	-0.9681787955047844	0.551	0.925	3.730672931836242e-257	0	-0.9764334059635544	0.553	0.934	0	2.0598250685863838e-241	0	PvC
Angptl2	1.0268677443336247e-240	-0.46873441024550927	0.109	0.51	2.1415326808077745e-236	0	-0.510417030299098	0.081	0.538	0	0	-0.43286819555034306	0.057	0.436	0	1.0268677443336247e-240	0	FRC
Ano1	3.735957901435978e-260	-0.762961226126684	0.093	0.68	7.791340203444733e-256	8.695922102819276e-239	-0.6944611968846179	0.103	0.644	1.81353455454296e-234	4.560808622048154e-266	-0.6382756359931797	0.117	0.625	9.511566381281425e-262	8.695922102819276e-239	1.3682425866145732e-265	PvC
