gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
Ifi206	0	1.1627476576569808	0.763	0.109	0	0	1.0205150188431424	0.74	0.129	0	0	1.0950079140877962	0.744	0.084	0	0	0	BEC
Ifi213	0	1.0184927071927936	0.746	0.146	0	0	0.9913697599479744	0.744	0.159	0	0	1.0362602381269403	0.76	0.119	0	0	0	BEC
Ifi209	0	0.7635258781856735	0.564	0.017	0	0	0.7852267645895574	0.598	0.024	0	0	0.7630233918957511	0.581	0.016	0	0	0	BEC
Ifi208	0	0.9431327262082382	0.732	0.137	0	0	0.8292643378292883	0.697	0.157	0	0	0.8547094781797884	0.707	0.116	0	0	0	BEC
Ifi207	0	0.9352537675987453	0.66	0.018	0	0	0.8526614915693047	0.64	0.024	0	0	0.875345695709104	0.642	0.014	0	0	0	BEC
Ifi204	0	1.3764581288243596	0.863	0.18	0	0	1.3305257670102097	0.875	0.194	0	0	1.3552366945109282	0.864	0.132	0	0	0	BEC
Mndal	0	0.8209757874483632	0.901	0.615	0	0	0.6856379103230492	0.903	0.662	0	0	0.789381848829025	0.901	0.578	0	0	0	BEC
Ifi211	0	1.4277566082349196	0.882	0.141	0	0	1.3377458512714915	0.858	0.153	0	0	1.3279569551508277	0.848	0.116	0	0	0	BEC
Ifi203	0	0.8475834145627477	0.925	0.644	0	0	0.7065094758591279	0.919	0.675	0	0	0.8092801193002234	0.915	0.594	0	0	0	BEC
Ifi205	0	0.7921222957413033	0.563	0.005	0	0	0.7763452494407402	0.564	0.007	0	0	0.8511810287139602	0.618	0.002	0	0	0	BEC
AA467197	0	1.5402834139477866	0.841	0.041	0	0	1.5324995132596486	0.846	0.035	0	0	1.5278138597182682	0.823	0.015	0	0	0	BEC
Samhd1	0	0.8658747657978559	0.84	0.459	0	0	0.8997655132923101	0.86	0.458	0	0	0.948523264471983	0.857	0.404	0	0	0	BEC
Tgm2	0	0.7795973882831491	0.852	0.583	0	0	0.8355628460249883	0.868	0.544	0	0	0.8030068111680964	0.865	0.532	0	0	0	BEC
Zbp1	0	1.1066461537423997	0.751	0.134	0	0	1.0708044904002785	0.752	0.122	0	0	1.176126828491693	0.793	0.078	0	0	0	BEC
Gbp5	0	1.2140499633886355	0.844	0.228	0	0	1.2700024889562629	0.861	0.204	0	0	1.315241305192796	0.868	0.161	0	0	0	BEC
Gbp7	0	0.8862175445418604	0.887	0.556	0	0	0.9659788816962804	0.9	0.537	0	0	1.0845225404202476	0.903	0.446	0	0	0	BEC
Gbp3	0	0.8988072151608366	0.818	0.378	0	0	0.8793168859440104	0.813	0.385	0	0	0.9903288923632574	0.83	0.283	0	0	0	BEC
Gbp2	0	1.5004368705619888	0.956	0.373	0	0	1.5410102786127158	0.955	0.363	0	0	1.5999111082837518	0.949	0.288	0	0	0	BEC
Ifi44	0	0.9837199396077358	0.826	0.364	0	0	1.0009638144037014	0.861	0.38	0	0	1.1300857702007479	0.869	0.3	0	0	0	BEC
Clic4	0	0.6692026869925283	0.963	0.803	0	0	0.6808678872265912	0.954	0.762	0	0	0.7206661450469598	0.961	0.714	0	0	0	BEC
Sh2d5	0	0.7373679622823962	0.561	0.011	0	0	0.7786878708193956	0.587	0.008	0	0	0.7330440719708264	0.568	0.008	0	0	0	BEC
Isg15	0	1.3678673363496197	0.972	0.483	0	0	1.185477832146619	0.949	0.515	0	0	1.3357134730626135	0.959	0.425	0	0	0	BEC
Il6	0	0.9993491396524867	0.671	0.081	0	0	0.9854718027261268	0.676	0.069	0	0	0.9661443905614473	0.671	0.068	0	0	0	BEC
Cxcl9	0	1.9230430687830906	0.999	0.321	0	0	1.9671953886496873	0.997	0.265	0	0	2.1514745290875856	0.999	0.191	0	0	0	BEC
Cxcl10	0	1.7149281589073917	0.993	0.342	0	0	1.8640006167407497	0.992	0.249	0	0	1.863586541023114	0.991	0.233	0	0	0	BEC
Gbp4	0	1.1653504784101958	0.905	0.417	0	0	1.3259062313306085	0.921	0.368	0	0	1.381803830092592	0.919	0.325	0	0	0	BEC
Gbp6	0	1.0368327795084684	0.799	0.218	0	0	1.1457471026270962	0.822	0.185	0	0	1.2507597538240622	0.844	0.129	0	0	0	BEC
Oasl1	0	1.0420815916765165	0.727	0.074	0	0	0.9931044186561593	0.728	0.105	0	0	0.9688581703541478	0.719	0.057	0	0	0	BEC
Usp18	0	1.1816836776901352	0.809	0.172	0	0	1.1266737495761179	0.824	0.216	0	0	1.0836750671072302	0.794	0.164	0	0	0	BEC
Emp1	0	0.8054865582505337	0.911	0.621	0	0	0.8409613248062858	0.893	0.56	0	0	0.6991588190835363	0.882	0.577	0	0	0	BEC
Selenow	0	0.669246015071592	0.918	0.717	0	0	0.6173405061692503	0.912	0.715	0	0	0.6431977439935463	0.919	0.689	0	0	0	BEC
Isg20	0	1.2469191043360799	0.793	0.102	0	0	1.1862614246568643	0.784	0.131	0	0	1.127623195539039	0.768	0.082	0	0	0	BEC
Trim30a	0	0.8371814245646338	0.824	0.452	0	0	0.8122708277613659	0.831	0.469	0	0	0.9351010518541771	0.846	0.388	0	0	0	BEC
Ifitm3	0	0.3740063605818742	0.999	0.98	0	0	0.35872604525390983	0.999	0.973	0	0	0.4180646723743324	0.999	0.959	0	0	0	BEC
Irf7	0	1.2810774115966155	0.908	0.371	0	0	1.2251492346559307	0.91	0.397	0	0	1.244480310646381	0.908	0.34	0	0	0	BEC
Bst2	0	0.667491269746566	0.979	0.846	0	0	0.6528770080484625	0.978	0.826	0	0	0.7479739976091884	0.981	0.782	0	0	0	BEC
Ppa1	0	0.8547540326947654	0.729	0.212	0	0	0.8324908850475433	0.73	0.218	0	0	0.7370568448747709	0.701	0.205	0	0	0	BEC
Upp1	0	0.8793392889985986	0.885	0.549	0	0	0.9234999045630742	0.868	0.511	0	0	0.8743717800897679	0.861	0.491	0	0	0	BEC
Irgm1	0	0.9889297952059467	0.877	0.429	0	0	1.0192515326715388	0.871	0.394	0	0	1.0582421232769028	0.867	0.346	0	0	0	BEC
Tgtp1	0	0.8225018566283497	0.74	0.242	0	0	0.8166014920705125	0.729	0.196	0	0	0.8008356517664927	0.702	0.135	0	0	0	BEC
Ifi47	0	0.7659953486500519	0.838	0.492	0	0	0.8274152910111234	0.83	0.439	0	0	0.8504401066493025	0.821	0.373	0	0	0	BEC
