gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Hmgb1	0	-0.5853239263759813	0.758	0.881	0	0	-0.63587816717195	0.746	0.915	0	0	-0.4945895682859993	0.805	0.872	0	0	0	BEC
Atox1	0	-0.7430101139349241	0.69	0.876	0	0	-0.7075879292116585	0.694	0.887	0	0	-0.5835804573383356	0.749	0.848	0	0	0	BEC
Cd300lg	0	-1.0140237105544694	0.313	0.748	0	0	-0.9188180296925439	0.409	0.804	0	0	-0.8955959657388545	0.366	0.748	0	0	0	BEC
Crip1	0	-0.9768548594517122	0.504	0.845	0	0	-0.8973374474198778	0.531	0.862	0	0	-0.800256071978663	0.595	0.833	0	0	0	BEC
Gucy1a1	5.681513642639694e-302	-1.1349096064762882	0.254	0.832	1.1848796701725082e-297	0	-1.1775099603523573	0.226	0.873	0	0	-1.1040260181669208	0.225	0.826	0	5.681513642639694e-302	0	PvC
Selenop	6.165671564321759e-299	-0.8974722595884621	0.355	0.747	1.2858508047393029e-294	0	-0.8684585978857936	0.447	0.809	0	0	-0.775201668554701	0.429	0.75	0	6.165671564321759e-299	0	BEC
Aspn	0	-1.2093669688684678	0.114	0.799	0	1.739633590994298e-288	-1.1118149448173127	0.14	0.79	3.6280058540186084e-284	0	-1.122327939202524	0.128	0.801	0	1.739633590994298e-288	0	PvC
Ckb	5.879503600728133e-267	-0.9410600532676964	0.137	0.742	1.2261704759318521e-262	1.1797404593376803e-280	-0.947727897795063	0.105	0.744	2.4603487279487323e-276	0	-1.0245294579918347	0.131	0.794	0	5.879503600728133e-267	0	PvC
Nedd4	2.5697519174810417e-250	-0.6868612791400758	0.753	0.893	5.359217623906712e-246	2.1808343738837987e-272	-0.8043013155286269	0.68	0.921	4.548130086734662e-268	2.0334160487394082e-297	-0.6170494027939355	0.728	0.892	4.2406891696460355e-293	2.5697519174810417e-250	6.10024814621888e-297	PvC
Ptms	1.34673826674243e-246	-0.7092536845526909	0.734	0.912	2.8086226552913376e-242	1.2696603822181008e-242	-0.721265696916857	0.691	0.933	2.647876727115849e-238	9.2710118120843e-301	-0.6208308347958409	0.731	0.917	1.9334695134101808e-296	1.2696603822181008e-242	2.7813035436254703e-300	PvC
