gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Tor3a	0	0.7439276406691477	0.726	0.24	0	0	0.7967796664583596	0.726	0.223	0	0	0.7242595450908282	0.726	0.213	0	0	0	BEC
Ifi206	0	1.0368289927977348	0.749	0.121	0	0	1.1648174252061878	0.768	0.108	0	0	1.111867580649056	0.764	0.081	0	0	0	BEC
Ifi213	0	0.9970044673323097	0.748	0.15	0	0	1.0172958966775265	0.752	0.148	0	0	1.052939971118821	0.781	0.119	0	0	0	BEC
Ifi209	0	0.7856726639586319	0.602	0.02	0	0	0.7701121588053185	0.57	0.015	0	0	0.7765969139244828	0.599	0.014	0	0	0	BEC
Ifi208	0	0.8353769273468552	0.705	0.151	0	0	0.9441786074949374	0.738	0.14	0	0	0.8702626807528527	0.731	0.12	0	0	0	BEC
Ifi207	0	0.858477822812083	0.652	0.026	0	0	0.9352938039987233	0.664	0.018	0	0	0.8821703963324691	0.662	0.017	0	0	0	BEC
Ifi204	0	1.3420197161920524	0.88	0.184	0	0	1.375525198724354	0.868	0.185	0	0	1.3656314939706982	0.88	0.133	0	0	0	BEC
Mndal	0	0.6950572388563292	0.909	0.648	0	0	0.8136662416607694	0.904	0.622	0	0	0.7970389006031825	0.916	0.585	0	0	0	BEC
Ifi211	0	1.3362236679515362	0.863	0.15	0	0	1.4317131664820733	0.885	0.14	0	0	1.3345349316816335	0.862	0.118	0	0	0	BEC
Ifi203	0	0.7142732533817293	0.925	0.665	0	0	0.8312033383640652	0.923	0.651	0	0	0.8157463279472729	0.928	0.6	0	0	0	BEC
Ifi205	0	0.783778253199337	0.575	0.007	0	0	0.8017988129140436	0.573	0.004	0	0	0.8509460607570027	0.633	0.002	0	0	0	BEC
