gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	lec_type
Ndst1	1.2203049844607009e-14	0.34252348603543525	0.894	0.3	2.34750069860705e-10	7.930581672995538e-7	0.40324965241271904	1	0.364	0.015256059964341517	7.930581672995538e-7	2.4406099689213774e-14	BEC
Frmd4a	5.76371863910205e-7	0.16683223428910882	0.723	0.296	0.011087665546040614	9.887476568965185e-7	0.41141030364667397	0.923	0.327	0.01902053867571833	9.887476568965185e-7	1.1527433956158842e-6	BEC
Nfat5	8.28204115148362e-9	0.31730853221842703	0.894	0.397	1.593216256310904e-4	2.4642786967485934e-6	0.5316760479715549	1	0.438	0.04740532928935269	2.4642786967485934e-6	1.6564082234375004e-8	BEC
Tmcc1	5.71080167890079e-10	0.1984387731064797	0.638	0.217	1.098586918970145e-5	4.05204785108692e-6	0.4227281839891724	0.769	0.237	0.07794924451135908	4.05204785108692e-6	1.1421603354540252e-9	BEC
Pcgf5	1.7439189707550266e-11	0.21490619676580983	0.702	0.225	3.354776924041445e-7	6.77600013443355e-6	0.42214652139514597	0.846	0.307	0.1303499145860982	6.77600013443355e-6	3.487837941479631e-11	BEC
Sipa1l1	2.0917066371792256e-7	0.1675747354663354	0.596	0.237	0.004023816057941676	7.363089147608243e-6	0.2922818571069737	0.846	0.266	0.14164374593253976	7.363089147608243e-6	4.183412836834787e-7	BEC
Psme4	3.020941315228158e-8	0.18858727617053794	0.745	0.297	5.811384808104408e-4	8.065856984876832e-6	0.40687557453086143	0.923	0.329	0.15516289081807563	8.065856984876832e-6	6.041882539195433e-8	BEC
Tubgcp5	1.582415672645959e-11	0.16456878245438866	0.532	0.139	3.0440930294690313e-7	1.3514153981033509e-5	0.24806317517485185	0.615	0.164	0.2599717801331416	1.3514153981033509e-5	3.1648313452668765e-11	BEC
Cspp1	6.605897572377852e-8	0.17862547409365787	0.66	0.254	0.0012707765159983273	1.9589821841060068e-5	0.380967645138761	0.769	0.284	0.37684940275647255	1.9589821841060068e-5	1.321179470837689e-7	BEC
Krit1	3.050031234783397e-10	0.24509095539737008	0.851	0.334	5.8673450863528206e-6	2.3652928030195778e-5	0.31901118478236545	0.923	0.356	0.4550113765168762	2.3652928030195778e-5	6.10006246863652e-10	BEC
Pdzd2	2.7219798503585984e-5	0.16799549873436193	0.702	0.338	0.5236272638134836	2.629650474537377e-5	0.41807216723986745	0.923	0.37	0.5058658617867552	2.7219798503585984e-5	5.259231798458568e-5	BEC
Map3k6	4.295312635633117e-10	0.1944223770279896	0.617	0.205	8.262892917167426e-6	3.6227588431741135e-5	0.3161262164094918	0.692	0.235	0.6969101186614042	3.6227588431741135e-5	8.590625269421237e-10	BEC
Mafg	5.2639837405091116e-8	0.1874392074675628	0.681	0.271	0.0010126325521617378	3.6677403437268105e-5	0.33404441043153055	0.846	0.331	0.7055632099227266	3.6677403437268105e-5	1.0527967203922966e-7	BEC
mt-Atp8	4.610515945966613e-9	0.31613576653176734	0.915	0.406	8.869249525255973e-5	3.9517959771922475e-5	0.551967457085966	1	0.485	0.7602069921324727	3.9517959771922475e-5	9.221031870676368e-9	BEC
Cnot1	5.312954383813548e-8	0.19677623505697522	0.766	0.314	0.0010220530348142123	4.1472791635109894e-5	0.33475982280825717	0.923	0.384	0.7978120926846091	4.1472791635109894e-5	1.0625908485352236e-7	BEC
Map3k11	3.5722191899637494e-10	0.2313653744922553	0.915	0.349	6.8718780557332645e-6	4.3036739521264876e-5	0.34231617131900793	1	0.401	0.8278977581705724	4.3036739521264876e-5	7.144438378651406e-10	BEC
Cherp	2.56378034802063e-10	0.2032998525548021	0.66	0.219	4.931944255487286e-6	5.110853906758812e-5	0.28558210725893024	0.769	0.286	0.9831749660431927	5.110853906758812e-5	5.127560695383946e-10	BEC
Pan3	1.1321953065065647e-9	0.2620964924358877	0.872	0.338	2.1780041111266784e-5	5.946860835322339e-5	0.40539831128660997	0.923	0.427	1	5.946860835322339e-5	2.2643906117312562e-9	BEC
Stk38	1.2493449633638097e-6	0.16096543717856043	0.66	0.286	0.024033649060229607	6.463275474544266e-5	0.27795557764099355	0.846	0.329	1	6.463275474544266e-5	2.498688365864781e-6	BEC
Dock4	1.1723936734459026e-10	0.3815604137112834	0.894	0.368	2.255333709607883e-6	8.464318640979242e-5	0.4234483124644006	0.923	0.425	1	8.464318640979242e-5	2.344787346754347e-10	BEC
Ubr4	3.527232949744823e-13	0.3078245624320286	0.915	0.326	6.785338025424116e-9	8.901350833892981e-5	0.323410605444671	0.846	0.362	1	8.901350833892981e-5	7.054465899488379e-13	BEC
Dpp9	1.1222403267001302e-11	0.15813065668221454	0.596	0.167	2.1588537164730406e-7	9.467671011616703e-5	0.18867742131106746	0.692	0.221	1	9.467671011616703e-5	2.244480653387666e-11	BEC
Rnf220	1.4355289726915536e-8	0.24944511072466874	0.723	0.308	2.7615270847667413e-4	9.730104588251069e-5	0.2769824184278375	0.846	0.346	1	9.730104588251069e-5	2.8710579247756733e-8	BEC
Vwf	6.59428308301824e-5	0.269822356896895	0.447	0.188	1	1.0035060303043535e-4	0.478519731864614	0.692	0.217	1	1.0035060303043535e-4	1.3188131320342699e-4	BEC
Mxra8	1.0604354969729094e-7	0.1528258696891083	0.66	0.248	0.0020399597655267857	1.2373198197257294e-4	0.38038791006822886	0.769	0.327	1	1.2373198197257294e-4	2.120870881493473e-7	BEC
Lamb2	6.690277507588862e-8	0.2883906431529207	0.83	0.368	0.0012870086841348695	1.245948528792901e-4	0.39368539873992076	0.923	0.415	1	1.245948528792901e-4	1.338055456757959e-7	BEC
Tcaf1	5.698165194001253e-9	0.19027296302897037	0.617	0.216	1.096156038370021e-4	1.3632558325842056e-4	0.28803493002870306	0.692	0.256	1	1.3632558325842056e-4	1.1396330355533418e-8	BEC
Taf15	8.063133294277864e-8	0.1952402246854696	0.723	0.312	0.0015511049518202326	1.4221731235826706e-4	0.26852619690233537	0.846	0.36	1	1.4221731235826706e-4	1.6126265938414568e-7	BEC
Phf3	5.3291688901207674e-5	0.16353843041336996	0.745	0.363	1	1.5563898245791238e-4	0.3264406456660084	0.923	0.417	1	1.5563898245791238e-4	1.0658053779830933e-4	BEC
Gm17056	1.7218297183199158e-5	0.15923943044522645	0.383	0.141	0.3312283829132022	1.6820064542754176e-4	0.24676873090694748	0.538	0.147	1	1.6820064542754176e-4	3.443629789664046e-5	BEC
Cdk2	1.093049409576258e-8	0.17565985225502065	0.617	0.224	2.1026991492018474e-4	1.6821668282527744e-4	0.24386396442144134	0.692	0.258	1	1.6821668282527744e-4	2.1860988072049396e-8	BEC
Prpf39	9.634752252839623e-7	0.19905218141330994	0.681	0.291	0.018534372908787584	1.7141695966030096e-4	0.2561829400363418	0.769	0.311	1	1.7141695966030096e-4	1.9269495222834164e-6	BEC
Mkln1	5.392790125387418e-7	0.2694176410385172	0.872	0.409	0.010374110364207776	1.7494760601693523e-4	0.37239813429992097	1	0.458	1	1.7494760601693523e-4	1.07855773425563e-6	BEC
Gm4070	6.744258133355089e-10	0.21296719779500262	0.638	0.208	1.2973929371135184e-5	1.8002133485713114e-4	0.2508530241031055	0.769	0.274	1	1.8002133485713114e-4	1.3488516262161671e-9	BEC
