gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	cell_type_2
Ephx1	0	-0.36607243875257506	0.022	0.473	0	0	-0.3430874013466248	0.023	0.466	0	0	0	FRC
Hmgcs2	0	-0.7061791125422726	0.015	0.501	0	0	-0.6440087039662793	0.028	0.55	0	0	0	FRC
Adh1	0	-0.44220542993555106	0.01	0.409	0	0	-0.31998182450065266	0.014	0.348	0	0	0	FRC
Sult1a1	0	-0.38683386138569414	0.024	0.424	0	0	-0.3289298615844707	0.028	0.434	0	0	0	FRC
Ypel3	0	-0.6416751401380814	0.025	0.656	0	0	-0.48507301692991533	0.039	0.578	0	0	0	FRC
Gas1	0	-0.7647269757694624	0.054	0.649	0	0	-0.7315095359674312	0.051	0.629	0	0	0	FRC
Pink1	0	-0.4477622421101249	0.039	0.552	0	1.8086335803579308e-303	-0.33832189685921665	0.042	0.497	3.8077162767275515e-299	1.8086335803579308e-303	0	FRC
Galnt16	1.9048806744383396e-298	-0.4126663204607762	0.043	0.494	4.0103452838950365e-294	0	-0.44073531032974717	0.034	0.529	0	1.9048806744383396e-298	0	FRC
Aoc3	2.1637805604212205e-288	-0.6046322781479523	0.086	0.613	4.5554072138547955e-284	1.3101845667291926e-303	-0.5961189964895985	0.078	0.64	2.7583315683349693e-299	2.1637805604212205e-288	2.6203691334582587e-303	FRC
Idh2	2.782331589290851e-282	-0.6164355192842729	0.136	0.707	5.857642694934029e-278	3.075325337353654e-297	-0.6263885660341498	0.121	0.747	6.474482432730648e-293	2.782331589290851e-282	6.150650674707078e-297	FRC
Angptl2	0	-0.6060029601824473	0.078	0.617	0	5.6246366847314936e-282	-0.504022187960926	0.071	0.596	1.1841547612365213e-277	5.6246366847314936e-282	0	FRC
Atp1a2	0	-0.6813951758685582	0.048	0.559	0	1.8294457369271553e-276	-0.5398002572380143	0.054	0.517	3.85153210995274e-272	1.8294457369271553e-276	0	FRC
Gamt	3.338527771443059e-273	-0.3087901428362132	0.034	0.438	7.028602517219072e-269	0	-0.34458617979842643	0.027	0.459	0	3.338527771443059e-273	0	FRC
Ckb	8.922249374692736e-270	-0.7322299439920625	0.116	0.661	1.8784011608540616e-265	1.9128217604256117e-277	-0.7863160378351512	0.105	0.677	4.02706365222404e-273	8.922249374692736e-270	3.825643520851009e-277	FRC
Selenbp1	3.392647555363137e-264	-0.3006892756897655	0.035	0.425	7.142540898306013e-260	3.831501926323175e-307	-0.290834998358158	0.026	0.408	8.06646100548818e-303	3.392647555363137e-264	7.663003852646043e-307	FRC
Prxl2c	1.6266314148123917e-303	-0.4408117729406973	0.068	0.585	3.4245471176045283e-299	1.8643697986920385e-263	-0.3555401953138872	0.055	0.517	3.9250577371863486e-259	1.8643697986920385e-263	3.2532628296245257e-303	FRC
Ttyh3	9.038583019123449e-254	-0.39858240279253004	0.073	0.547	1.9028928830160596e-249	1.1859951068360124e-245	-0.44036896731659025	0.083	0.594	2.496875498421857e-241	1.1859951068360124e-245	1.8077166038244902e-253	FRC
G0s2	1.6698302422305004e-242	-0.3258598795538185	0.033	0.399	3.515493608967873e-238	4.369581179317499e-235	-0.30189177243178356	0.03	0.374	9.19927925681713e-231	4.369581179317499e-235	3.3396604844609276e-242	FRC
