gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	lec_type
Hmgcs2	0	-0.899912321202802	0.023	0.66	0	0	-0.804147017448928	0.038	0.691	0	0	0	FRC
Adh1	0	-0.5788005573351364	0.015	0.546	0	0	-0.4601423547109684	0.018	0.514	0	0	0	FRC
Gas1	0	-0.8437276712800822	0.035	0.699	0	1.3808718955974485e-307	-0.7314000891011055	0.039	0.629	2.9071496018013084e-303	1.3808718955974485e-307	0	FRC
Lrrc17	0	-0.559960122267274	0.018	0.602	0	1.967684024734007e-305	-0.3499906908620836	0.011	0.413	4.142565177272505e-301	1.967684024734007e-305	0	FRC
Ypel3	0	-0.6265815239150441	0.03	0.697	0	3.398335866500949e-294	-0.4833125648753924	0.037	0.595	7.154516499744449e-290	3.398335866500949e-294	0	FRC
Atp1a2	6.788885585653474e-284	-0.8152166440948772	0.063	0.694	1.429264082347626e-279	1.4008229120556143e-303	-0.7458266843073068	0.063	0.741	2.9491524767506846e-299	6.788885585653474e-284	2.8016458241110194e-303	FRC
Tspan18	5.4878177304780666e-266	-0.3367910917345454	0.018	0.491	1.1553502667975472e-261	0	-0.3249143050133653	0.014	0.467	0	5.4878177304780666e-266	0	FRC
Ephx1	1.400032672392481e-256	-0.3834800442658149	0.026	0.522	2.94748878518789e-252	0	-0.4048993194306726	0.025	0.556	0	1.400032672392481e-256	0	FRC
Angptl2	6.546058231272389e-224	-0.6230420284439568	0.078	0.66	1.3781416394297761e-219	7.953237698180686e-220	-0.48374646625872875	0.053	0.595	1.6743951325979797e-215	7.953237698180686e-220	1.3092116462544464e-223	FRC
Galnt16	3.396707098810833e-210	-0.37218400110539795	0.036	0.501	7.151087455126447e-206	1.921353313098986e-241	-0.31661276312700287	0.026	0.471	4.045025130067295e-237	3.396707098810833e-210	3.842706626197692e-241	FRC
Pink1	9.597298755516264e-238	-0.40304098683103784	0.042	0.565	2.020519306998839e-233	1.0537722131399875e-209	-0.31731954555772507	0.039	0.51	2.2185066403236156e-205	1.0537722131399875e-209	1.9194597511032305e-237	FRC
Gamt	4.652899547817995e-195	-0.2573345697823719	0.022	0.414	9.795749418021225e-191	8.314790407544163e-245	-0.269500182251276	0.017	0.409	1.7505128245002724e-240	4.652899547817995e-195	1.6629580815087242e-244	FRC
Aoc3	1.544317375286789e-191	-0.5047462151148838	0.074	0.594	3.251251370191277e-187	4.783296678325876e-212	-0.47135717142212724	0.056	0.591	1.0070274496879467e-207	1.544317375286789e-191	9.56659335665183e-212	FRC
Idh2	2.895861511964363e-191	-0.6343871780163862	0.166	0.773	6.096657241138574e-187	1.0815679466795414e-190	-0.6638604021510573	0.141	0.799	2.2770249981444385e-186	1.0815679466795414e-190	5.791723023928822e-191	FRC
Ldhb	9.148921509214124e-180	-0.359244232552143	0.044	0.48	1.9261224453348496e-175	5.729380047053071e-206	-0.32021730165731416	0.031	0.459	1.206206381306083e-201	9.148921509214124e-180	1.145876009410632e-205	FRC
G0s2	1.0107705287688393e-180	-0.3456411836803299	0.031	0.435	2.1279751942170375e-176	1.6854017300648952e-177	-0.3006712090693957	0.028	0.405	3.548276262305624e-173	1.6854017300648952e-177	2.0215410575376867e-180	FRC
Selenbp1	1.4123723012532006e-172	-0.3295851414411912	0.044	0.472	2.973467405828363e-168	2.9024487946800756e-211	-0.31862303395448954	0.029	0.452	6.110525447439963e-207	1.4123723012532006e-172	5.804897589360217e-211	FRC
Pdcd4	1.640891939171151e-170	-0.6018099112498102	0.178	0.765	3.454569799537024e-166	1.9333123418813662e-190	-0.6616119565660528	0.132	0.788	4.0702024733628406e-186	1.640891939171151e-170	3.8666246837627264e-190	FRC
Prxl2c	7.094526909305301e-199	-0.42101863545212437	0.08	0.628	1.4936107502160452e-194	4.2323001771052977e-168	-0.34902444027586654	0.059	0.541	8.910261562859783e-164	4.2323001771052977e-168	1.4189053818610333e-198	FRC
Ttyh3	2.109487149995238e-179	-0.4778830913601907	0.104	0.654	4.4411032968849744e-175	1.2603164027818502e-167	-0.5047850070126092	0.112	0.707	2.6533441227766293e-163	1.2603164027818502e-167	4.2189742999905656e-179	FRC
Abca8a	8.582139814261771e-243	-0.5294282472261388	0.03	0.52	1.8067978950965307e-238	8.202320693869193e-163	-0.31392239666850996	0.025	0.367	1.7268345756802813e-158	8.202320693869193e-163	1.7164279628522359e-242	FRC
H2afv	3.074000165262577e-186	-0.5923107590591998	0.159	0.752	6.471692547927303e-182	1.219486547928517e-161	-0.5829001639445975	0.139	0.761	2.567385029353907e-157	1.219486547928517e-161	6.148000330524993e-186	FRC
Mxra7	9.7337934959834e-167	-0.5637452320701525	0.156	0.723	2.0492555447093852e-162	9.9445686025806e-161	-0.5745152650162926	0.119	0.71	2.0936300279012937e-156	9.9445686025806e-161	1.946758699196657e-166	FRC
Sult1a1	2.4408105898791802e-160	-0.2981528722524919	0.029	0.393	5.138638534872639e-156	7.304522579209074e-210	-0.33366396299041673	0.029	0.456	1.5378211386008864e-205	2.4408105898791802e-160	1.460904515841839e-209	FRC
Cntfr	3.086191136380555e-159	-0.3556691453747812	0.051	0.475	6.497358199421983e-155	6.28544758319152e-243	-0.40535836299216693	0.039	0.552	1.3232752796893107e-238	3.086191136380555e-159	1.2570895166382875e-242	FRC
Nrp1	6.935842659410705e-160	-0.7871122132052522	0.226	0.799	1.4602029550857358e-155	2.980456491607632e-155	-0.8023990943526174	0.184	0.819	6.274755051781547e-151	2.980456491607632e-155	1.3871685318821597e-159	FRC
Iah1	5.633541087021894e-153	-0.5532237393096903	0.191	0.744	1.1860294050507193e-148	7.063252899758202e-176	-0.627864713947982	0.145	0.788	1.4870266329860944e-171	5.633541087021894e-153	1.412650579951632e-175	FRC
Ckb	1.4966968661219243e-184	-0.6288743655553484	0.099	0.644	3.1509959122464875e-180	1.0971745850355134e-150	-0.5705859105199851	0.087	0.598	2.309881653875266e-146	1.0971745850355134e-150	2.993393732243866e-184	FRC
Chp2	2.3107318230390496e-150	-0.46839640339898786	0.015	0.357	4.864783707044111e-146	2.055675700039905e-168	-0.319384801793052	0.012	0.281	4.3278140512940124e-164	2.3107318230390496e-150	4.1113514000797394e-168	BEC
Wipi1	2.4711550894765655e-197	-0.5876395158619993	0.135	0.734	5.202522809875014e-193	4.579800976442432e-150	-0.4662661387651952	0.11	0.672	9.641854995704251e-146	4.579800976442432e-150	4.942310178953177e-197	FRC
Sspn	6.585102282780874e-163	-0.37056011584572024	0.073	0.546	1.3863615835938573e-158	1.2791975235352735e-146	-0.3068520996872963	0.06	0.51	2.6930945462988112e-142	1.2791975235352735e-146	1.3170204565561908e-162	FRC
Ypel3	1.9292645887478207e-173	-0.5118632531606919	0.043	0.475	4.061680738690787e-169	4.1755728394009874e-145	-0.3773166395133999	0.07	0.458	8.790833498790899e-141	4.1755728394009874e-145	3.858529177495588e-173	BEC
Ypel3	3.693555065015363e-221	-0.6713073263850013	0.015	0.592	7.776041478376844e-217	1.5343861968787013e-141	-0.49041195545025607	0.036	0.544	3.23034326028873e-137	1.5343861968787013e-141	7.387110130030582e-221	PvC
Srpx2	4.6217033957208795e-140	-0.38136982598147223	0.061	0.467	9.730072159011167e-136	1.859369691913728e-153	-0.28733759961002936	0.03	0.378	3.914531012385971e-149	4.6217033957208795e-140	3.7187393838274225e-153	FRC
Pdlim2	1.7065513975337045e-139	-0.32342923996952455	0.043	0.409	3.5928026572277083e-135	3.7733224599826234e-183	-0.41630590276256846	0.036	0.452	7.943975775001418e-179	1.7065513975337045e-139	7.546644919965332e-183	FRC
Myl9	1.218980689607909e-138	-0.638655354249705	0.153	0.673	2.566320045831531e-134	9.328143950842269e-139	-0.7377455028597076	0.165	0.761	1.9638541459708229e-134	1.218980689607909e-138	1.8656287901684565e-138	FRC
Adamts10	8.84926021156162e-138	-0.45384849835137586	0.118	0.612	1.863034752340068e-133	1.0474563216408185e-138	-0.4757205646976871	0.101	0.622	2.205209793950415e-134	8.84926021156162e-138	2.0949126432816164e-138	FRC
Cldn1	1.7316363483908447e-137	-0.25308678265976225	0.011	0.272	3.645614004267245e-133	1.7303784946533738e-222	-0.3604993799998452	0.016	0.375	3.642965844793748e-218	1.7316363483908447e-137	3.46075698930681e-222	FRC
