gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	lec_type
Cxcl9	0	1.9700877317964973	0.997	0.264	0	5.4670161203558294e-285	1.810354596543834	0.999	0.422	1.1509709038185127e-280	5.4670161203558294e-285	0	BEC
Cxcl10	0	1.729030387084837	0.992	0.296	0	4.2835060701182854e-249	1.4868301526537082	0.991	0.444	9.018065329420027e-245	4.2835060701182854e-249	0	BEC
Gbp2	1.4477216351613352e-296	1.5597095106056535	0.955	0.363	3.047888358505159e-292	7.735070563347249e-245	1.57841016794624	0.949	0.382	1.6284644057014963e-240	7.735070563347249e-245	2.8954432703224765e-296	BEC
Iigp1	8.615185112447636e-264	1.1177236459063677	0.952	0.531	1.813754921723601e-259	3.325402818110364e-240	1.2124848958237209	0.964	0.582	7.000970552967749e-236	3.325402818110364e-240	1.7230370224895135e-263	BEC
Ifitm3	1.5697537600860346e-263	0.3819598551348746	0.999	0.957	3.3048025911091285e-259	1.981855632613178e-228	0.31061401654057663	0.999	0.978	4.1724006633405237e-224	1.981855632613178e-228	3.1395075201719518e-263	BEC
Gbp4	1.4559671079583948e-258	1.329730183004676	0.921	0.369	3.0652475523848087e-254	2.5508227632721857e-225	1.4393182324266482	0.919	0.365	5.370247163516932e-221	2.5508227632721857e-225	2.9119342159167554e-258	BEC
Ly6a	1.4831757707691622e-222	0.6659425113854212	0.984	0.813	3.1225299502003173e-218	1.0429437421347169e-234	0.8399848124284572	0.986	0.765	2.1957094603162194e-230	1.4831757707691622e-222	2.085887484269402e-234	BEC
Isg15	3.242884085139997e-256	1.1674387224407283	0.949	0.529	6.827243864445235e-252	3.110598450407108e-218	1.0679131795434325	0.959	0.614	6.548742917642084e-214	3.110598450407108e-218	6.485768170279615e-256	BEC
Bst2	2.5476659092992536e-237	0.6637155762534241	0.978	0.799	5.363601038847719e-233	4.267629108416347e-211	0.5896528635091187	0.981	0.819	8.984639561948934e-207	4.267629108416347e-211	5.095331818598246e-237	BEC
Rsad2	3.620677751090028e-238	1.4191710333555987	0.9	0.261	7.622612869369835e-234	4.016315909705714e-210	1.4832982645040065	0.907	0.261	8.45554988470344e-206	4.016315909705714e-210	7.241355502179523e-238	BEC
Clic4	3.0072560508702846e-251	0.8183636720009992	0.954	0.676	6.33117616389721e-247	6.516250897200324e-201	0.6900048401064107	0.961	0.745	1.3718663013875844e-196	6.516250897200324e-201	6.0145121017405226e-251	BEC
Ifi204	1.7935879603604556e-252	1.3940969000035115	0.875	0.174	3.776040732946867e-248	1.94629844795431e-197	1.3248126175429589	0.864	0.227	4.097542122478209e-193	1.94629844795431e-197	3.587175920720805e-252	BEC
AA467197	1.1670744920449923e-257	1.5546581570231583	0.846	0.02	2.4570419281023225e-253	1.9993718204371676e-197	1.5143055473391887	0.823	0.034	4.209277493566369e-193	1.9993718204371676e-197	2.3341489840897425e-257	BEC
Irf7	1.0367062781928575e-223	1.1639451784641275	0.91	0.426	2.1825777274794228e-219	6.92686613456369e-197	1.147498389390213	0.908	0.448	1.4583131273096938e-192	6.92686613456369e-197	2.0734125563855134e-223	BEC
Cd274	4.219334959638327e-227	1.3121898121159477	0.858	0.264	8.88296589052657e-223	1.7435433329447195e-195	1.3173570677655746	0.871	0.315	3.670681778848518e-191	1.7435433329447195e-195	8.438669919276612e-227	BEC
Gbp5	6.964691323381172e-229	1.2672858606192974	0.861	0.24	1.4662764643114381e-224	4.120908077493415e-194	1.2735881939795808	0.868	0.251	8.675747775546886e-190	4.120908077493415e-194	1.392938264676208e-228	BEC
Lgals9	9.151599343948316e-210	0.9304380583508964	0.913	0.576	1.926686209881439e-205	8.682600103890675e-194	0.9377959268408975	0.921	0.604	1.827947799872104e-189	8.682600103890675e-194	1.8303198687896648e-209	BEC
Ifi211	3.1153353846622733e-242	1.3999187972520315	0.858	0.144	6.558715585329484e-238	1.9647580465340326e-185	1.2542081144913382	0.848	0.227	4.136405115368099e-181	1.9647580465340326e-185	6.230670769324519e-242	BEC
Gbp7	4.196049575746837e-226	1.0953234332438688	0.9	0.467	8.833943171819816e-222	3.276232090497801e-185	1.0999219949544892	0.903	0.512	6.897451420125021e-181	3.276232090497801e-185	8.392099151492842e-226	BEC
Igtp	8.530956883333274e-221	1.2087343170811813	0.858	0.291	1.7960223526481542e-216	1.4229113351485138e-178	1.1976918129188092	0.862	0.319	2.995655233888166e-174	1.4229113351485138e-178	1.7061913766666596e-220	BEC
Ifit3	1.8733095663165734e-242	1.3569744378238695	0.901	0.289	3.943878629966282e-238	6.834633600434148e-178	1.2283182896553004	0.873	0.301	1.438895411899401e-173	6.834633600434148e-178	3.746619132632846e-242	BEC
Gbp6	4.995147245358604e-203	1.1259095390517149	0.822	0.236	1.051628349565347e-198	3.035460508393478e-177	1.1722953988932674	0.844	0.251	6.390555008320789e-173	3.035460508393478e-177	9.990294490717027e-203	BEC
Tspo	4.08322370110544e-191	0.7094664855410615	0.928	0.674	8.596410857937284e-187	1.8270321303170256e-172	0.6776797476292269	0.927	0.701	3.846450743956434e-168	1.8270321303170256e-172	8.166447402210767e-191	BEC
Ifit2	1.2019149785230068e-193	1.2118586753796983	0.815	0.207	2.5303916042844864e-189	7.629354188436304e-167	1.2076611757672202	0.822	0.195	1.606207937291495e-162	7.629354188436304e-167	2.403829957046045e-193	BEC
Cxcl9	3.370229717614498e-228	2.2280775455444304	0.998	0.188	7.095344624493802e-224	3.165320038054004e-165	2.1130743065605593	0.999	0.251	6.663948276115095e-161	3.165320038054004e-165	6.740459435228913e-228	FRC
Ifi44	9.92876667097866e-212	1.126741252796476	0.861	0.33	2.0903032472411376e-207	5.631079382473817e-164	1.0102445172661927	0.869	0.442	1.1855111423922126e-159	5.631079382473817e-164	1.9857533341957773e-211	BEC
Phf11b	9.319592359103322e-203	1.1245691170769325	0.769	0.067	1.9620537793620225e-198	2.0462037188728955e-161	1.1176221461393996	0.766	0.08	4.307872689343107e-157	2.0462037188728955e-161	1.863918471820633e-202	BEC
Ifit1	4.349593266703657e-180	1.0735552860493052	0.807	0.206	9.157198704391208e-176	1.8948735534444864e-156	1.106768774957256	0.826	0.241	3.989277292066677e-152	1.8948735534444864e-156	8.699186533407202e-180	BEC
Ifi203	1.7753943714283532e-196	0.8801018719196901	0.919	0.561	3.737737770168112e-192	1.8603384056818699e-155	0.8218033695306037	0.915	0.618	3.916570445482041e-151	1.8603384056818699e-155	3.550788742856779e-196	BEC
Irgm1	4.327466688083541e-186	0.9543401517866195	0.871	0.44	9.11061561842228e-182	8.97206442214328e-155	0.9694396589659684	0.867	0.452	1.8888887227938247e-150	8.97206442214328e-155	8.654933376167039e-186	BEC
