Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BEC	GO:0006954	inflammatory response	24/186	382/9477	4.0919741938078445e-7	0.0013188432826642682	0.001104833032328118	Hmgb1/Fut7/Jam3/Gpx4/Pdcd4/Cuedc2/Fabp4/Pde2a/Cd81/Prcp/Plgrkt/Psen2/Ifngr1/Chst2/Cd24a/Lxn/Apoe/Pglyrp1/Tgfb1/Mgll/Hmgb2/F2r/Cxcl1/Ccl21a	24
BEC	GO:0050877	nervous system process	23/186	401/9477	3.480553396998821e-6	0.003328051668027714	0.002788004810324179	Gnas/Jam3/Gm2a/Spr/Grcc10/Slc29a1/Pnkd/Dbi/Psap/Tpp1/Ntan1/Psen2/Nr4a1/Aqp1/Fabp5/Btg2/Lxn/Apoe/Paip2/Plk2/Mgll/Slc9a3r2/F2r	23
BEC	GO:0003018	vascular process in circulatory system	12/186	119/9477	3.4852784302385086e-6	0.003328051668027714	0.002788004810324179	Abcb1a/Ptp4a3/Pde2a/Tgfbr3/Fabp5/Abcg2/Cav1/Apoe/Tgfb1/Mgll/F2r/Cldn5	12
BEC	GO:0010631	epithelial cell migration	16/186	219/9477	5.9829832052704425e-6	0.003328051668027714	0.002788004810324179	Hmgb1/Clec14a/Atp2b4/Ptp4a3/Enpp2/Tgfbr3/Prcp/Bsg/Nr4a1/Aqp1/Scarb1/Apoe/Nrp1/Plk2/Tgfb1/Glul	16
BEC	GO:0090132	epithelium migration	16/186	219/9477	5.9829832052704425e-6	0.003328051668027714	0.002788004810324179	Hmgb1/Clec14a/Atp2b4/Ptp4a3/Enpp2/Tgfbr3/Prcp/Bsg/Nr4a1/Aqp1/Scarb1/Apoe/Nrp1/Plk2/Tgfb1/Glul	16
BEC	GO:0090130	tissue migration	16/186	220/9477	6.34255378074451e-6	0.003328051668027714	0.002788004810324179	Hmgb1/Clec14a/Atp2b4/Ptp4a3/Enpp2/Tgfbr3/Prcp/Bsg/Nr4a1/Aqp1/Scarb1/Apoe/Nrp1/Plk2/Tgfb1/Glul	16
BEC	GO:0003013	circulatory system process	18/186	275/9477	7.228160619358982e-6	0.003328051668027714	0.002788004810324179	Gnas/Atp2b4/Abcb1a/Ptp4a3/Pde2a/Tgfbr3/Prcp/Psen2/Cd34/Fabp5/Abcg2/Cav1/Gna12/Apoe/Tgfb1/Mgll/F2r/Cldn5	18
BEC	GO:0072507	divalent inorganic cation homeostasis	16/186	236/9477	1.540908056942695e-5	0.005330015011792938	0.004465107208141773	Hmgb1/Bok/Gnas/Atp2b4/Gtf2i/Mtss1/Dbi/Psen2/Cav1/Cd24a/Apoe/Tgfb1/Cav2/F2r/Cxcl1/Ccl21a	16
BEC	GO:0051480	regulation of cytosolic calcium ion concentration	12/186	139/9477	1.7395932287221152e-5	0.005330015011792938	0.004465107208141773	Hmgb1/Bok/Atp2b4/Gtf2i/Dbi/Cav1/Cd24a/Tgfb1/Cav2/F2r/Cxcl1/Ccl21a	12
BEC	GO:0001944	vasculature development	25/186	511/9477	2.0680813886815573e-5	0.005363587569012444	0.004493231907022527	Hmgb1/Clec14a/Jam3/Atp2b4/Pdcd4/Mfge8/Gtf2i/Tspan12/Smarca2/Pde2a/Enpp2/Tgfbr3/Prcp/Cd34/Bsg/Nr4a1/Aqp1/Cav1/Apoe/Tie1/Nrp1/Plk2/Tgfb1/Glul/Cldn5	25
BEC	GO:0006869	lipid transport	14/186	193/9477	2.5262729230002616e-5	0.005815841164878459	0.004872097780071934	Selenom/Abcb1a/Gm2a/Rbp7/Fabp4/Slco2b1/Dbi/Scp2/Psap/Scarb1/Fabp5/Abcg2/Pltp/Apoe	14
BEC	GO:0031295	T cell costimulation	4/186	11/9477	4.256485355559194e-5	0.00851834336823477	0.007136061772954976	Cd81/Cav1/Cd24a/Ccl21a	4
BEC	GO:0010876	lipid localization	15/186	232/9477	4.974983144234598e-5	0.00851834336823477	0.007136061772954976	Selenom/Abcb1a/Gm2a/Rbp7/Fabp4/Slco2b1/Dbi/Scp2/Psap/Scarb1/Fabp5/Abcg2/Cav1/Pltp/Apoe	15
BEC	GO:0008284	positive regulation of cell population proliferation	25/186	539/9477	5.021673099486834e-5	0.00851834336823477	0.007136061772954976	Chp2/Hmgb1/Gnas/Crip2/Fabp4/Cst3/AY036118/Cd81/Enpp2/Tgfbr3/Lbh/Nr4a1/Ctsz/Aqp1/Tsc22d1/Cav1/Cd24a/Romo1/Tgfb1/Glul/Hmgb2/Cav2/F2r/Cldn5/Cxcl1	25
BEC	GO:0043117	positive regulation of vascular permeability	4/186	12/9477	6.286986417346061e-5	0.008809981401350588	0.007380375359493203	Ptp4a3/Pde2a/Apoe/Tgfb1	4
BEC	GO:0150104	transport across blood-brain barrier	4/186	13/9477	8.942262537306255e-5	0.010773688420288948	0.009025429331300083	Abcb1a/Fabp5/Abcg2/Apoe	4
BEC	GO:0015849	organic acid transport	10/186	124/9477	1.5680605244801094e-4	0.014864291383527626	0.012452245341459693	Abcb1a/Dpysl2/Rbp7/Fabp4/Slco2b1/Slc6a6/Fabp5/Abcg2/Mpc1/Apoe	10
BEC	GO:0010632	regulation of epithelial cell migration	12/186	176/9477	1.7461542823344722e-4	0.01607958643418287	0.013470333035151643	Hmgb1/Atp2b4/Enpp2/Tgfbr3/Prcp/Bsg/Aqp1/Apoe/Nrp1/Plk2/Tgfb1/Glul	12
BEC	GO:0050673	epithelial cell proliferation	15/186	264/9477	2.1146548701480097e-4	0.01844012342160148	0.015447822909811976	Hmgb1/Igfbp4/Ctsl/Mtss1/Tgfbr3/Cd34/Nr4a1/Scarb1/Cav1/Apoe/Tie1/Tgfb1/Glul/Hmgb2/Cav2	15
BEC	GO:0052547	regulation of peptidase activity	14/186	235/9477	2.1169238802334927e-4	0.01844012342160148	0.015447822909811976	Hmgb1/Bok/Dap/Cst3/Ctsd/Timp2/Nr4a1/Aqp1/Spint2/Cav1/Mtch1/Lxn/Itih5/F2r	14
BEC	GO:0099537	trans-synaptic signaling	16/186	298/9477	2.4818715279685533e-4	0.019509931547908897	0.01634403201345145	Pink1/Slc29a1/Pnkd/Dbi/Slc6a6/Psen2/Nr4a1/Fabp5/Cd24a/Apoe/Paip2/Plk2/Mgll/Glul/Cav2/F2r	16
BEC	GO:2000178	negative regulation of neural precursor cell proliferation	4/186	17/9477	2.798814991773881e-4	0.020184559518212332	0.016909187309703165	Spint2/Btg2/Cd24a/Tgfb1	4
BEC	GO:0051270	regulation of cellular component movement	27/186	673/9477	2.818197884950527e-4	0.020184559518212332	0.016909187309703165	Hmgb1/Fut7/Jam3/Atp2b4/Mpzl1/Stmn1/Arhgap18/Cd81/Enpp2/Tgfbr3/Prcp/Bsg/Aqp1/Chst2/Spint2/Cav1/Gna12/Apoe/Tie1/Dusp3/Nrp1/Plk2/Tgfb1/Glul/F2r/Cldn5/Ccl21a	27
BEC	GO:0044403	biological process involved in symbiotic interaction	11/186	161/9477	3.199597997089941e-4	0.02118441257058883	0.017746793031520276	Ctsl/Bsg/Ifi27/Scarb1/Cav1/Apoe/Nrp1/Pglyrp1/Romo1/Cav2/Cxcl1	11
BEC	GO:0032101	regulation of response to external stimulus	23/186	539/9477	3.4908622299499874e-4	0.022502097934257618	0.018850656041729932	Hmgb1/Fut7/Jam3/Gpx4/Pdcd4/Fabp4/Pde2a/Cd81/Tspan6/Cd34/Nenf/Cav1/Cd24a/Apoe/Dusp3/Nrp1/Pglyrp1/Tgfb1/Mgll/Hmgb2/F2r/Cxcl1/Ccl21a	23
BEC	GO:0048871	multicellular organismal homeostasis	15/186	278/9477	3.6876809905872737e-4	0.02285653044742843	0.019147574374203155	Gnas/Abcb1a/C1qtnf9/Fabp4/Stmn1/Prcp/Tpp1/Cd34/Bsg/Aqp1/Fabp5/Cav1/Tgfb1/F2r/Cldn5	15
BEC	GO:1901654	response to ketone	7/186	69/9477	3.8709216918737793e-4	0.023466197944520276	0.01965831040961984	Gnas/Tgfbr3/Aqp1/Cav1/Ddit4/Tgfb1/Ccl21a	7
