gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Rps27	4.8689993665602146e-116	-0.25787544709979393	0.911	0.931	1.025070436641922e-111	4.8805709172775125e-185	-0.35057856326701486	0.94	0.986	1.0275065952144347e-180	4.8689993665602146e-116	9.761141834555115e-185	BEC
Ypel3	3.3124845399239626e-175	-0.5061998343860105	0.046	0.469	6.973773701901919e-171	1.5438873489580807e-142	-0.36241498839064623	0.079	0.464	3.250346035761447e-138	1.5438873489580807e-142	6.624969079847935e-175	BEC
Chp2	3.3215827027275204e-156	-0.456937245550291	0.015	0.354	6.992928064052249e-152	2.1456157918539953e-167	-0.30725158955887244	0.014	0.28	4.517164926590216e-163	3.3215827027275204e-156	4.291231583707979e-167	BEC
Sult1a1	1.9871434586103688e-159	-0.7378747991775687	0.084	0.522	4.18353312341241e-155	3.40174698365045e-99	-0.6003961379684029	0.156	0.53	7.161697924679292e-95	3.40174698365045e-99	3.9742869172207755e-159	BEC
Cd300lg	1.423839976972631e-155	-0.982220655108745	0.313	0.734	2.99761030352048e-151	2.6466600043621955e-112	-0.8013093693508949	0.366	0.739	5.5720133071837305e-108	2.6466600043621955e-112	2.8476799539452363e-155	BEC
Bok	1.1012556050406822e-90	-0.3734986173620087	0.081	0.382	2.3184734252921484e-86	1.5337684546835439e-136	-0.3941775007781717	0.075	0.435	3.229042727645265e-132	1.1012556050406822e-90	3.0675369093671283e-136	BEC
Gm36756	1.070311329069711e-78	-0.2526485582897853	0.028	0.247	2.2533264410904625e-74	1.7734484053378457e-135	-0.32507386690761503	0.038	0.333	3.7336409277577666e-131	1.070311329069711e-78	3.5468968106756107e-135	BEC
Atox1	1.195140121954236e-133	-0.6658629123750732	0.69	0.837	2.516128498750253e-129	2.739221801045717e-102	-0.5321512370405916	0.749	0.83	5.7668836577415484e-98	2.739221801045717e-102	2.3902802439085414e-133	BEC
Crip1	1.5483629790276e-129	-0.8688927626935733	0.504	0.789	3.259768579746806e-125	3.3461987041054496e-100	-0.7166840975078582	0.595	0.83	7.044752131753203e-96	3.3461987041054496e-100	3.096725958055259e-129	BEC
Selenop	8.111682894052196e-127	-0.8664161981442577	0.355	0.703	1.7077525996848088e-122	9.326410390547403e-118	-0.800511992324864	0.429	0.754	1.9634891795219446e-113	9.326410390547403e-118	1.6223365788104838e-126	BEC
Mfge8	8.982581757304376e-63	-0.6000709567647546	0.66	0.785	1.8911029373652902e-58	2.666808568743476e-121	-0.7770919428227643	0.697	0.919	5.61443207977564e-117	8.982581757304376e-63	5.333617137487062e-121	BEC
Fcgrt	1.7110790487918077e-120	-0.46220680611537746	0.093	0.463	3.6023347214213927e-116	5.29714737651606e-85	-0.33591275773929147	0.125	0.453	1.115208437177926e-80	5.29714737651606e-85	3.422158097583597e-120	BEC
Cmtm8	1.4820168235974829e-118	-0.37867634057786337	0.051	0.381	3.1200900187197807e-114	7.582001300983147e-113	-0.3242374637692619	0.092	0.447	1.596238733895982e-108	7.582001300983147e-113	2.9640336471950525e-118	BEC
Tspan18	2.0077027531814097e-94	-0.36513951521243215	0.067	0.367	4.226816606272822e-90	5.128558437627565e-117	-0.31988865479907647	0.067	0.393	1.0797154078737312e-112	2.0077027531814097e-94	1.0257116875254955e-116	BEC
Gnas	9.359913216251262e-117	-0.33832460007225684	0.867	0.911	1.970542529417378e-112	4.0938303101639015e-75	-0.2584626264077172	0.886	0.882	8.618740951988063e-71	4.0938303101639015e-75	1.8719826432502185e-116	BEC
Hmgb1	2.190789930559607e-98	-0.4828385016189749	0.758	0.811	4.6122700408071405e-94	1.3465913646445336e-111	-0.4738344266603447	0.805	0.874	2.8349787999861367e-107	2.190789930559607e-98	2.693182729289097e-111	BEC
Pink1	9.070313809001373e-107	-0.28575599538149893	0.058	0.375	1.909573166209059e-102	5.702522245915071e-111	-0.25917466697935543	0.068	0.391	1.2005520084325e-106	9.070313809001373e-107	1.1405044491830025e-110	BEC
Rbp7	3.3677683593501267e-109	-0.7233880414769799	0.066	0.392	7.090162726939821e-105	1.660872503403731e-51	-0.43413617893799356	0.107	0.342	3.4966348814158753e-47	1.660872503403731e-51	6.73553671870031e-109	BEC
Tmem176b	3.3195768079096997e-72	-0.5518240378927577	0.631	0.749	6.988705053692291e-68	4.790870032620957e-109	-0.6381687388983818	0.67	0.822	1.0086218679676902e-104	3.3195768079096997e-72	9.581740065241975e-109	BEC
Gstm1	2.3311812643266735e-91	-0.48610901983181054	0.112	0.436	4.907835915786946e-87	1.022400374882099e-108	-0.4786437747220284	0.132	0.515	2.152459509239283e-104	2.3311812643266735e-91	2.044800749764211e-108	BEC
Prxl2c	2.801059239453784e-108	-0.36185480558687627	0.075	0.411	5.89707001682205e-104	2.0249649617232075e-82	-0.25175302140547623	0.098	0.402	4.2631587339158687e-78	2.0249649617232075e-82	5.6021184789075124e-108	BEC
Igfbp4	8.384244545077406e-87	-0.47879791166271124	0.127	0.46	1.7651350040751462e-82	8.013429690640667e-108	-0.577637076587795	0.184	0.586	1.6870673527705794e-103	8.384244545077406e-87	1.6026859381281566e-107	BEC
AY036118	3.022226573230647e-107	-0.586299214015406	0.838	0.955	6.36269360462248e-103	3.7723878425885623e-45	-0.4074676399081003	0.893	0.95	7.9420081250017e-41	3.7723878425885623e-45	6.044453146461354e-107	BEC
Clec14a	4.413026526781938e-107	-0.7354571336542152	0.284	0.625	9.290744746834014e-103	6.086907282625535e-83	-0.6239311979991187	0.275	0.596	1.2814765902111538e-78	6.086907282625535e-83	8.826053053563915e-107	BEC
Fut7	3.4190026568077735e-84	-0.5406075194147298	0.045	0.294	7.198026293377406e-80	5.910717062461727e-107	-0.6140734155037273	0.059	0.342	1.2443832631600675e-102	3.4190026568077735e-84	1.1821434124923503e-106	BEC
Mxd4	3.0745371386206147e-105	-0.6664251203756152	0.21	0.567	6.47282303793798e-101	3.995779533861862e-60	-0.47100319883146635	0.264	0.557	8.412314652639379e-56	3.995779533861862e-60	6.1490742772413246e-105	BEC
Nfia	9.19006558052501e-105	-0.5559308725996865	0.155	0.518	1.9347845066679302e-100	1.6430797255173805e-65	-0.4267247370849877	0.24	0.551	3.459175746131741e-61	1.6430797255173805e-65	1.8380131161049966e-104	BEC
Rnaseh2c	6.531136364007228e-99	-0.29576140705464227	0.064	0.374	1.3750001387144417e-94	2.0378271951225892e-104	-0.3117141406348808	0.105	0.456	4.290237593891587e-100	6.531136364007228e-99	4.0756543902452403e-104	BEC
Ctsl	1.1630166098674462e-59	-0.5095099019728998	0.7	0.768	2.4484988687539344e-55	2.385351665307833e-101	-0.6393256765619032	0.71	0.868	5.02188086097258e-97	1.1630166098674462e-59	4.7707033306156323e-101	BEC
Tle5	3.025188318289583e-98	-0.6691939452297746	0.42	0.683	6.36892896649506e-94	1.9526086746847108e-71	-0.5610871902274583	0.458	0.685	4.1108270428137217e-67	1.9526086746847108e-71	6.05037663657921e-98	BEC
Tmem176a	1.0395563654752414e-78	-0.6651084274995913	0.481	0.687	2.1885780162350255e-74	5.29977052701533e-96	-0.6819598588739286	0.527	0.76	1.1157606890525374e-91	1.0395563654752414e-78	1.0599541054030545e-95	BEC
H3f3a	1.6948610140039125e-85	-0.3697671222326928	0.793	0.83	3.568190892782437e-81	4.8180352850729425e-95	-0.4046678890756483	0.813	0.859	1.0143409685664065e-90	1.6948610140039125e-85	9.636070570145989e-95	BEC
Jam3	3.243163014128402e-72	-0.5475345977934961	0.186	0.47	6.827831093644525e-68	7.779441510628638e-95	-0.5275629477949673	0.174	0.522	1.6378058212326473e-90	3.243163014128402e-72	1.55588830212572e-94	BEC
Atp2b4	3.639392861938285e-94	-0.3820095767105315	0.091	0.413	7.662013792238671e-90	5.852856457800932e-66	-0.25877175877136527	0.13	0.429	1.2322018700608303e-61	5.852856457800932e-66	7.278785723876558e-94	BEC
Prnd	1.2153817938458878e-49	-0.2875308958109848	0.025	0.176	2.5587432905837475e-45	2.4167827774267293e-93	-0.41744568876158594	0.049	0.298	5.088052781316493e-89	1.2153817938458878e-49	4.83356555485342e-93	BEC
Tspan13	6.420744987660258e-93	-0.6652793851659955	0.237	0.582	1.351759442252114e-88	1.5590787262747352e-46	-0.4167658902757558	0.322	0.602	3.2823284424262e-42	1.5590787262747352e-46	1.2841489975320643e-92	BEC
Gm13889	1.2391982469576857e-56	-0.5166518178574372	0.226	0.502	2.608884069320016e-52	2.4073504273483818e-89	-0.6825919784394525	0.244	0.617	5.068194854696548e-85	1.2391982469576857e-56	4.81470085469678e-89	BEC
C1qtnf9	3.444307093961942e-89	-0.46105081859586605	0.059	0.342	7.251299724918076e-85	1.031964661767792e-49	-0.2787387213836594	0.102	0.338	2.1725952024197325e-45	1.031964661767792e-49	6.888614187923859e-89	BEC
Pde2a	8.53555282388292e-89	-0.5171318789304357	0.182	0.514	1.796989936012071e-84	8.341228535823204e-46	-0.3594861746876288	0.274	0.538	1.756078843646859e-41	8.341228535823204e-46	1.707110564776607e-88	BEC
Abcb1a	3.6995931456907916e-88	-0.453297132614242	0.13	0.446	7.788753449622824e-84	1.4691766055256215e-60	-0.3274031074998535	0.179	0.472	3.093057507613091e-56	1.4691766055256215e-60	7.399186291381693e-88	BEC
Ccl21a	3.62439827512055e-6	-0.3705845328515016	0.578	0.582	0.07630445688611294	7.171414520104579e-87	-0.8745380337047068	0.607	0.909	1.509797898917617e-82	3.62439827512055e-6	1.4342829040209067e-86	BEC
Ier2	8.714454392143899e-86	-0.46457050592389004	0.757	0.835	1.834654083178055e-81	5.601447361076846e-47	-0.36043031200536446	0.764	0.797	1.1792727129275084e-42	5.601447361076846e-47	1.7428908784287863e-85	BEC
Cavin2	1.0020683595703338e-84	-0.7685345638992612	0.25	0.592	2.109654517403424e-80	1.1857224380374746e-33	-0.41414390489354047	0.302	0.559	2.4963014488002954e-29	1.1857224380374746e-33	2.0041367191406503e-84	BEC
Dpysl2	3.3188446793120824e-84	-0.543232556330695	0.261	0.576	6.987163703355728e-80	1.9310193379655782e-53	-0.44535933262090943	0.317	0.578	4.065375012218932e-49	1.9310193379655782e-53	6.637689358624105e-84	BEC
Pdcd4	1.033129321053232e-83	-0.4017584237192935	0.134	0.455	2.1750471596133696e-79	7.706666467272911e-66	-0.3463116652822381	0.16	0.458	1.622484491354966e-61	7.706666467272911e-66	2.0662586421064575e-83	BEC
Myl12b	1.2157757435039532e-83	-0.6334598905640394	0.479	0.701	2.5595726727988726e-79	2.5660721332362765e-75	-0.6169623636412808	0.486	0.7	5.402351662102333e-71	2.5660721332362765e-75	2.431551487007879e-83	BEC
Selenom	1.4923525161047466e-82	-0.481838447687939	0.172	0.492	3.141849752155323e-78	5.880295483378533e-62	-0.3984932078710708	0.222	0.524	1.2379786081156826e-57	5.880295483378533e-62	2.984705032209519e-82	BEC
Gpx4	3.3567652295362047e-82	-0.6537641654438204	0.48	0.677	7.066997837742572e-78	5.589829565693673e-70	-0.5840694293594783	0.521	0.702	1.176826818465489e-65	5.589829565693673e-70	6.713530459072456e-82	BEC
Gm2a	4.735004835610273e-55	-0.25286095755549876	0.083	0.315	9.968605680410307e-51	4.246248899817621e-81	-0.30788151790386575	0.083	0.364	8.939627808786037e-77	4.735004835610273e-55	8.492497799635224e-81	BEC
Glycam1	2.222990231791355e-33	-0.35691917925016203	0.98	0.99	4.680061334990339e-29	5.578204363594809e-79	-0.6127730437599099	0.981	1	1.1743793646676151e-74	2.222990231791355e-33	1.1156408727189585e-78	BEC
Cracr2b	2.1382915808703e-78	-0.4722020846891689	0.237	0.543	4.501745265206243e-74	1.2421420919327863e-47	-0.3435648306698482	0.261	0.526	2.615081746146095e-43	1.2421420919327863e-47	4.2765831617405675e-78	BEC
Crip2	1.7137760651422806e-76	-0.5066800428661019	0.658	0.784	3.6080127499440436e-72	2.2510009184393408e-51	-0.4243621891938405	0.673	0.745	4.739032233590345e-47	2.2510009184393408e-51	3.427552130284613e-76	BEC
Btnl9	9.003935704156695e-75	-0.5518645511637288	0.074	0.333	1.895598583796109e-70	3.932091795885841e-50	-0.39823448144722084	0.105	0.331	8.27823285787846e-46	3.932091795885841e-50	1.800787140831322e-74	BEC
