gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Cxcl9	0	1.9585573842764954	0.997	0.274	0	3.210285112638271e-292	1.8240561714966934	0.999	0.422	6.758613247637351e-288	3.210285112638271e-292	0	BEC
Cxcl10	0	1.7299217603061043	0.992	0.299	0	2.331234849192179e-254	1.4748268943383551	0.992	0.451	4.9079487280042943e-250	2.331234849192179e-254	0	BEC
Gbp2	1.547839042728622e-297	1.5503254742408137	0.958	0.374	3.2586655366565676e-293	5.6321261486445026e-257	1.5789364078241557	0.957	0.393	1.185731518074127e-252	5.6321261486445026e-257	3.095678085457232e-297	BEC
Iigp1	8.65393855100533e-264	1.1022679819793622	0.953	0.545	1.821913683143152e-259	2.484949011785675e-249	1.2060347912331721	0.97	0.592	5.231563154512381e-245	2.484949011785675e-249	1.7307877102010494e-263	BEC
Ifitm3	1.2979464156195072e-262	0.3795575664271955	0.999	0.958	2.7325665888037486e-258	5.877850200181917e-233	0.31369089008913065	0.999	0.979	1.237463802644299e-228	5.877850200181917e-233	2.5958928312387724e-262	BEC
AA467197	3.580340905728434e-260	1.5539877984706836	0.852	0.02	7.537691708830071e-256	1.1735846063244622e-209	1.521851957152597	0.837	0.033	2.4707476716948904e-205	1.1735846063244622e-209	7.160681811456206e-260	BEC
Gbp4	4.707008541950539e-260	1.324052493792708	0.925	0.382	9.90966508336847e-256	5.237406980973095e-240	1.449013903333758	0.932	0.36	1.1026312917042656e-235	5.237406980973095e-240	9.414017083900502e-260	BEC
Isg15	5.903049358023339e-259	1.1536142148124773	0.953	0.545	1.2427689813446534e-254	9.405701772732158e-230	1.071985319236862	0.967	0.621	1.9801823942133013e-225	9.405701772732158e-230	1.1806098716045568e-258	BEC
Ifi204	1.3818070168535126e-254	1.393948056400713	0.88	0.185	2.9091183125817e-250	9.24213885902767e-212	1.3322931877189301	0.88	0.234	1.9457474939910953e-207	9.24213885902767e-212	2.763614033706953e-254	BEC
Clic4	1.1167429607907536e-252	0.8071248196714498	0.958	0.693	2.3510789553527735e-248	1.0799296362149777e-210	0.6936023353015721	0.971	0.75	2.2735758631233927e-206	1.0799296362149777e-210	2.2334859215812673e-252	BEC
Ly6a	3.769705918597449e-225	0.667960588248623	0.988	0.817	7.93636187042321e-221	3.3924441076743564e-244	0.830028249386713	0.99	0.77	7.142112579886822e-240	3.769705918597449e-225	6.784888215348243e-244	BEC
Ifi211	6.54219842059011e-244	1.3999604161042456	0.863	0.152	1.3773290334868359e-239	9.284891971664062e-199	1.2624189890808477	0.862	0.236	1.954748306794435e-194	9.284891971664062e-199	1.3084396841179865e-243	BEC
Ifit3	8.691076902005834e-244	1.3485055849976297	0.905	0.303	1.8297324201792883e-239	4.7061611294970056e-194	1.2416075983098978	0.893	0.309	9.907881025930045e-190	4.7061611294970056e-194	1.7382153804011343e-243	BEC
Rsad2	9.227410808155835e-242	1.4145517025055103	0.909	0.274	1.942646797441048e-237	5.739340517042214e-224	1.4792229598704538	0.924	0.279	1.2083033590528972e-219	5.739340517042214e-224	1.8454821616311467e-241	BEC
Bst2	2.0662787562191093e-238	0.6567550384085954	0.982	0.807	4.350136665468091e-234	1.4824661155938288e-219	0.5854662077125998	0.986	0.826	3.1210359131596876e-215	1.4824661155938288e-219	4.132557512437808e-238	BEC
Gbp5	8.035599622797005e-230	1.2533644396162706	0.868	0.255	1.6917347885874534e-225	1.3682930261990479e-208	1.280897032733609	0.881	0.25	2.8806673080568556e-204	1.3682930261990479e-208	1.607119924559341e-229	BEC
Cd274	2.7330475626324695e-228	1.3017314835381466	0.863	0.281	5.7538850336101385e-224	3.890894893845478e-213	1.3277274626209503	0.891	0.325	8.191501020012884e-209	3.890894893845478e-213	5.466095125264769e-228	BEC
Gbp7	2.4531970036564407e-227	1.0793891001196667	0.905	0.488	5.164715651797904e-223	1.6038541310020577e-201	1.1087324036068766	0.919	0.522	3.3765941019986324e-197	1.6038541310020577e-201	4.906394007312575e-227	BEC
Irf7	9.528778479008375e-226	1.1513162146642575	0.914	0.442	2.0060937331856332e-221	1.3854625882866924e-211	1.1415006983983251	0.923	0.464	2.9168143871199736e-207	1.3854625882866924e-211	1.9057556958015568e-225	BEC
Igtp	3.4693502484801795e-224	1.2046446050151967	0.865	0.306	7.304023078125322e-220	6.758760071117502e-195	1.2042549182141442	0.883	0.333	1.4229217577723677e-190	6.758760071117502e-195	6.938700496959615e-224	BEC
Ifi44	6.971788994645883e-216	1.1249878062286425	0.868	0.342	1.4677707370427978e-211	3.025572857510308e-185	1.0375464111413577	0.889	0.441	6.369738536916452e-181	3.025572857510308e-185	1.3943577989291444e-215	BEC
Lgals9	6.85846944245674e-214	0.9213556540097041	0.92	0.595	1.4439135717204175e-209	2.7246166316096258e-210	0.9479767590578548	0.933	0.609	5.736135394527746e-206	2.7246166316096258e-210	1.3716938884913147e-213	BEC
Ccl2	5.7063221471664175e-210	1.156995695876352	0.819	0.085	1.201352001642946e-205	1.9792230467401362e-147	0.9633947132791707	0.881	0.282	4.166858280302009e-143	1.9792230467401362e-147	1.1412644294332735e-209	BEC
Usp18	2.30107930025031e-208	1.1762771325807921	0.832	0.224	4.8444622508169774e-204	2.7958300558463984e-163	1.056021922723951	0.814	0.261	5.886061016573423e-159	2.7958300558463984e-163	4.60215860050075e-208	BEC
Isg20	4.083522921007294e-207	1.227227810899648	0.795	0.14	8.597040805596657e-203	2.1571566350704493e-167	1.1083132508499065	0.796	0.178	4.541461863813817e-163	2.1571566350704493e-167	8.16704584201474e-207	BEC
Gbp6	7.619514748006015e-207	1.1297051345886915	0.827	0.241	1.6041364398977063e-202	1.0321679614297694e-191	1.1768436255941066	0.862	0.251	2.1730232091980934e-187	1.0321679614297694e-191	1.523902949601231e-206	BEC
Phf11b	3.6731412027838106e-205	1.127094298590074	0.776	0.071	7.733064174220756e-201	3.5663965817906637e-175	1.1283661183293114	0.788	0.083	7.508334723643884e-171	3.5663965817906637e-175	7.34628240556751e-205	BEC
Ifi203	2.3411056206013342e-198	0.8663129948859533	0.925	0.58	4.928729663051989e-194	1.0678457156790964e-164	0.812495792294718	0.928	0.631	2.2481355852192017e-160	1.0678457156790964e-164	4.682211241202659e-198	BEC
Emp1	1.7446825357683202e-197	0.9920867585831397	0.901	0.486	3.6730801425530444e-193	2.528492976624677e-137	0.8098269345531224	0.899	0.561	5.323236263687932e-133	2.528492976624677e-137	3.4893650715367105e-197	BEC
Ifit2	1.1565288492452802e-196	1.2125134613483652	0.824	0.219	2.4348401863160885e-192	9.312633934832075e-178	1.204188959977047	0.842	0.213	1.9605888223001966e-173	9.312633934832075e-178	2.3130576984906023e-196	BEC
Tspo	5.3294810779613085e-196	0.703480217536103	0.933	0.687	1.1220156513431943e-191	2.4828196896996844e-179	0.6656524403822821	0.938	0.716	5.227080292724746e-175	2.4828196896996844e-179	1.0658962155922697e-195	BEC
Ifi206	9.281944742270996e-190	1.1144093575651686	0.749	0.091	1.9541278265903128e-185	7.561679562054746e-158	1.0842018560047633	0.764	0.135	1.5919603981993856e-153	7.561679562054746e-158	1.856388948454219e-189	BEC
Cd47	2.620070079811719e-189	0.6341193665450027	0.933	0.684	5.516033539027612e-185	2.1350763478319374e-155	0.6285377009987148	0.926	0.694	4.4949762350905775e-151	2.1350763478319374e-155	5.2401401596234826e-189	BEC
Irgm1	5.328696640195229e-189	0.9433096154511974	0.877	0.456	1.1218505036603016e-184	7.931593553608692e-167	0.9659408843556568	0.885	0.464	1.6698383908412378e-162	7.931593553608692e-167	1.0657393280390739e-188	BEC
Mndal	6.414654817888056e-189	0.845452377993008	0.909	0.574	1.3504772788099724e-184	1.4679204616198144e-150	0.7321483345916372	0.916	0.66	3.0904129478481954e-146	1.4679204616198144e-150	1.2829309635776083e-188	BEC
Samhd1	1.2118511441976266e-187	0.9226342924332378	0.865	0.472	2.5513102138792633e-183	2.8219387314528845e-160	0.9402761910438848	0.875	0.487	5.941027611327758e-156	2.8219387314528845e-160	2.423702288395275e-187	BEC
Ifit1	6.214252999991558e-184	1.0768636876371755	0.817	0.221	1.3082866840882228e-179	7.315106263289428e-169	1.1148363895762408	0.847	0.25	1.5400493216103233e-164	7.315106263289428e-169	1.242850599998289e-183	BEC
Batf2	1.559025917260563e-182	1.0087322628382065	0.713	0.059	3.282217263608663e-178	3.089518403982398e-162	1.0342175937195008	0.743	0.066	6.504363095904143e-158	3.089518403982398e-162	3.11805183452114e-182	BEC
Upp1	8.519220449983283e-182	0.9495075548664611	0.872	0.502	1.7935514813349806e-177	5.612782892683451e-136	0.7635978455702643	0.88	0.59	1.181659182396647e-131	5.612782892683451e-136	1.7038440899966588e-181	BEC
Ifit3b	4.814791259088396e-181	1.0547804913001901	0.785	0.189	1.0136580037758801e-176	7.570728012824261e-146	0.9359186482590769	0.767	0.162	1.5938653685398916e-141	7.570728012824261e-146	9.629582518176635e-181	BEC
Tgm2	3.1077519403426104e-178	0.8168042028240513	0.874	0.551	6.542750160003298e-174	2.4828221357509826e-147	0.770666508413644	0.884	0.594	5.227085442396544e-143	2.4828221357509826e-147	6.215503880685342e-178	BEC
Ifi213	2.0018538777123688e-176	1.0441713505302335	0.748	0.159	4.21450296874785e-172	1.4995900366568956e-156	1.0204489079209411	0.781	0.203	3.1570869041737624e-152	1.4995900366568956e-156	4.003707755424838e-176	BEC
Lipg	7.294776895115808e-176	1.2389753798080203	0.741	0.144	1.5357693797287312e-171	1.5536064288185482e-127	1.089423808410286	0.73	0.234	3.2708076145916895e-123	1.5536064288185482e-127	1.4589553790231805e-175	BEC
